production_id,date,sku,output_quantity,downtime_hours,downtime_reason
PR000040,2024-07-31,SKU0005,972,0.89,Machine Failure
PR000041,2020-07-05,SKU0026,1030,1.54,Labor Issue
PR000042,2020-02-09,SKU0016,1178,2.53,Machine Failure
PR000043,2020-04-06,SKU0004,1545,1.17,None
PR000044,2024-12-19,SKU0028,545,5.59,Material Shortage
PR000045,2021-05-23,SKU0022,547,0.7,Material Shortage
PR000046,2019-03-25,SKU0029,1944,1.29,Machine Failure
PR000047,2022-11-23,SKU0015,517,2.83,Maintenance
PR000048,2019-08-09,SKU0012,1943,2.34,Machine Failure
PR000049,2022-10-23,SKU0005,913,3.98,Labor Issue
PR000050,2019-04-22,SKU0030,214,11.49,Material Shortage
PR000051,2020-09-06,SKU0023,133,1.11,Material Shortage
PR000052,2023-05-01,SKU0016,284,0.24,Material Shortage
PR000053,2020-04-19,SKU0014,1149,0.06,Maintenance
PR000054,2024-03-28,SKU0010,1944,2.6,Maintenance
PR000055,2019-09-28,SKU0007,1462,4.14,None
PR000056,2024-04-04,SKU0013,1872,0.5,Machine Failure
PR000057,2022-10-22,SKU0020,685,0.35,Machine Failure
PR000058,2019-02-09,SKU0028,1175,0.13,Labor Issue
PR000059,2024-06-05,SKU0029,330,3.46,Material Shortage
PR000060,2021-09-20,SKU0005,1561,0.75,Maintenance
PR000061,2024-07-05,SKU0029,1406,1.03,Labor Issue
PR000062,2019-10-17,SKU0003,1138,1.4,Labor Issue
PR000063,2019-10-06,SKU0015,893,3.66,Maintenance
PR000064,2020-08-03,SKU0004,1505,2.1,Machine Failure
PR000065,2021-05-12,SKU0015,1307,1.91,Material Shortage
PR000066,2019-09-11,SKU0014,898,0.39,Machine Failure
PR000067,2019-06-30,SKU0020,1098,1.44,Labor Issue
PR000068,2020-11-11,SKU0019,1189,2.51,Material Shortage
PR000069,2021-04-04,SKU0013,1212,7.24,None
PR000070,2020-11-30,SKU0010,77,0.45,Labor Issue
PR000071,2022-09-11,SKU0021,946,0.02,Machine Failure
PR000072,2022-10-12,SKU0005,1625,0.16,Machine Failure
PR000073,2023-08-01,SKU0027,687,0.94,Machine Failure
PR000074,2023-06-27,SKU0023,20,3.44,Maintenance
PR000075,2024-05-11,SKU0020,565,0.01,Labor Issue
PR000076,2019-07-31,SKU0029,1207,1.22,Material Shortage
PR000077,2023-03-19,SKU0020,1894,0.8,Machine Failure
PR000078,2020-01-19,SKU0025,1245,0.11,Machine Failure
PR000079,2023-09-11,SKU0006,826,1.2,Maintenance
PR000080,2019-12-08,SKU0004,1351,0.59,Material Shortage
PR000081,2024-01-13,SKU0002,178,0.87,Labor Issue
PR000082,2024-06-10,SKU0022,1811,2.45,None
PR000083,2021-04-23,SKU0016,1135,1.47,Maintenance
PR000084,2023-03-15,SKU0018,1759,0.27,Labor Issue
PR000085,2020-02-24,SKU0005,1749,6.51,None
PR000086,2024-06-11,SKU0022,1082,2.02,Machine Failure
PR000087,2024-04-16,SKU0004,1350,2.9,Machine Failure
PR000088,2024-01-24,SKU0030,904,0.17,Material Shortage
PR000089,2019-11-02,SKU0013,1644,0.1,None
PR000090,2021-05-18,SKU0019,1920,0.04,Machine Failure
PR000091,2022-02-09,SKU0023,668,0.42,Machine Failure
PR000092,2022-12-05,SKU0002,190,1.07,Material Shortage
PR000093,2019-07-25,SKU0013,1223,5.49,Labor Issue
PR000094,2020-05-10,SKU0011,1335,1.22,Machine Failure
PR000095,2024-03-24,SKU0030,707,0.69,Maintenance
PR000096,2021-11-11,SKU0022,1058,1.65,Maintenance
PR000097,2019-08-01,SKU0029,378,0.24,Labor Issue
PR000098,2019-11-06,SKU0004,386,1.88,None
PR000099,2024-06-14,SKU0022,1781,1.68,Material Shortage
PR000100,2019-09-29,SKU0020,236,3.14,Maintenance
PR000101,2023-12-28,SKU0020,615,8.64,Maintenance
PR000102,2024-09-10,SKU0015,1542,0.58,Labor Issue
PR000103,2020-03-18,SKU0004,282,1.43,None
PR000104,2019-09-11,SKU0009,0,4.79,None
PR000105,2020-06-04,SKU0007,1754,3.08,Labor Issue
PR000106,2021-09-03,SKU0019,463,1.34,Maintenance
PR000107,2019-01-10,SKU0019,1253,5.81,Material Shortage
PR000108,2023-05-03,SKU0006,966,0.12,Maintenance
PR000109,2022-02-08,SKU0006,171,5.35,None
PR000110,2019-06-02,SKU0020,1110,0.1,Maintenance
PR000111,2023-07-17,SKU0015,1576,1.59,Material Shortage
PR000112,2024-01-31,SKU0015,1146,4.42,Machine Failure
PR000113,2022-04-29,SKU0025,842,0.61,Maintenance
PR000114,2023-10-19,SKU0020,1321,1.28,Labor Issue
PR000115,2022-01-09,SKU0009,1908,0.78,Machine Failure
PR000116,2021-06-13,SKU0004,1952,6.08,Labor Issue
PR000117,2022-01-16,SKU0018,689,3.47,Labor Issue
PR000118,2019-04-14,SKU0018,574,2.47,Labor Issue
PR000119,2024-03-29,SKU0005,1507,1.77,Maintenance
PR000120,2021-10-03,SKU0020,164,3.44,None
PR000121,2020-02-11,SKU0023,1722,1.0,Machine Failure
PR000122,2022-11-02,SKU0030,382,1.19,Material Shortage
PR000123,2019-06-16,SKU0011,208,2.62,None
PR000124,2020-05-23,SKU0005,1762,0.89,Maintenance
PR000125,2023-07-20,SKU0022,1455,0.13,Labor Issue
PR000126,2021-02-01,SKU0026,1412,0.15,Material Shortage
PR000127,2020-11-11,SKU0004,1583,0.25,Machine Failure
PR000128,2024-10-21,SKU0029,223,4.08,None
PR000129,2022-03-10,SKU0012,2,1.28,None
PR000130,2020-08-04,SKU0002,371,2.5,Material Shortage
PR000131,2019-09-19,SKU0013,1710,1.0,Maintenance
PR000132,2022-09-25,SKU0010,1469,0.6,Machine Failure
PR000133,2022-08-24,SKU0009,610,0.85,Material Shortage
PR000134,2023-03-19,SKU0010,115,3.16,Labor Issue
PR000135,2020-07-14,SKU0007,1293,1.96,Machine Failure
PR000136,2022-01-04,SKU0004,446,5.55,None
PR000137,2024-03-18,SKU0019,1391,2.28,Material Shortage
PR000138,2019-06-24,SKU0010,1276,1.69,None
PR000139,2024-11-26,SKU0030,1340,1.88,None
PR000140,2019-07-11,SKU0003,414,5.71,None
PR000141,2019-03-06,SKU0025,1118,3.1,Maintenance
PR000142,2023-02-06,SKU0021,1808,0.05,None
PR000143,2023-04-17,SKU0029,891,1.53,Labor Issue
PR000144,2022-02-25,SKU0019,1047,2.33,Labor Issue
PR000145,2024-04-21,SKU0021,1651,2.76,Machine Failure
PR000146,2020-01-04,SKU0002,662,0.48,None
PR000147,2021-04-30,SKU0027,1873,4.04,None
PR000148,2019-02-12,SKU0020,1073,6.24,Material Shortage
PR000149,2024-03-22,SKU0010,1525,0.54,Maintenance
PR000150,2019-03-19,SKU0002,717,4.28,Machine Failure
PR000151,2023-12-30,SKU0002,1521,0.2,None
PR000152,2022-07-17,SKU0028,1358,0.11,Material Shortage
PR000153,2020-11-04,SKU0024,1102,0.28,Maintenance
PR000154,2020-12-01,SKU0017,1605,0.12,Machine Failure
PR000155,2021-01-28,SKU0016,1050,3.73,Machine Failure
PR000156,2024-04-07,SKU0016,270,0.12,None
PR000157,2021-06-20,SKU0014,561,0.63,Machine Failure
PR000158,2021-09-19,SKU0007,803,0.22,Material Shortage
PR000159,2022-04-06,SKU0021,246,0.7,Machine Failure
PR000160,2023-01-16,SKU0011,1799,0.19,Labor Issue
PR000161,2020-01-25,SKU0024,1614,2.21,Material Shortage
PR000162,2021-09-26,SKU0001,386,0.29,Maintenance
PR000163,2020-06-08,SKU0011,701,3.82,Maintenance
PR000164,2024-01-30,SKU0023,558,3.4,None
PR000165,2023-02-15,SKU0021,972,0.03,None
PR000166,2020-10-20,SKU0004,1384,4.52,Labor Issue
PR000167,2021-06-09,SKU0007,1889,0.06,Maintenance
PR000168,2023-01-21,SKU0026,983,0.55,Maintenance
PR000169,2020-03-27,SKU0015,1511,0.07,Maintenance
PR000170,2023-03-18,SKU0018,351,0.82,Maintenance
PR000171,2021-06-01,SKU0012,1724,1.44,Machine Failure
PR000172,2019-11-09,SKU0017,1951,3.19,Material Shortage
PR000173,2021-04-19,SKU0001,1279,0.82,Material Shortage
PR000174,2020-01-10,SKU0011,1245,2.44,Labor Issue
PR000175,2020-03-26,SKU0028,1907,0.42,Machine Failure
PR000176,2020-08-17,SKU0001,752,2.78,Maintenance
PR000177,2022-05-18,SKU0015,780,0.54,Maintenance
PR000178,2020-05-14,SKU0028,1024,0.31,None
PR000179,2020-04-08,SKU0021,545,0.41,None
PR000180,2019-04-23,SKU0010,1469,0.4,Labor Issue
PR000181,2021-11-01,SKU0007,78,1.44,Maintenance
PR000182,2024-04-08,SKU0002,1259,3.73,Labor Issue
PR000183,2019-05-20,SKU0010,333,0.17,Machine Failure
PR000184,2022-11-25,SKU0024,888,2.45,Material Shortage
PR000185,2020-05-31,SKU0004,1372,2.12,Maintenance
PR000186,2024-05-01,SKU0012,1121,4.12,Machine Failure
PR000187,2024-12-05,SKU0019,1105,0.56,Maintenance
PR000188,2021-06-06,SKU0026,501,1.2,None
PR000189,2022-09-03,SKU0011,1990,5.2,Labor Issue
PR000190,2019-02-19,SKU0008,1500,2.16,None
PR000191,2019-01-19,SKU0018,1950,0.98,Material Shortage
PR000192,2020-12-26,SKU0011,1727,0.28,None
PR000193,2023-01-13,SKU0011,764,0.61,Maintenance
PR000194,2020-03-27,SKU0013,920,1.74,None
PR000195,2022-03-10,SKU0003,549,2.53,Maintenance
PR000196,2022-01-12,SKU0012,13,0.27,Material Shortage
PR000197,2019-08-03,SKU0003,391,1.83,None
PR000198,2023-03-30,SKU0010,1370,1.6,Labor Issue
PR000199,2019-05-08,SKU0027,309,1.44,Labor Issue
PR000200,2024-01-20,SKU0017,385,2.34,Labor Issue
PR000201,2021-01-29,SKU0022,1232,3.63,None
PR000202,2023-12-21,SKU0002,1380,0.78,None
PR000203,2019-12-27,SKU0017,973,4.4,None
PR000204,2020-07-22,SKU0016,1624,0.35,Maintenance
PR000205,2022-11-16,SKU0002,1591,0.38,Material Shortage
PR000206,2023-05-17,SKU0028,1117,0.62,Labor Issue
PR000207,2023-08-20,SKU0022,1116,0.25,Maintenance
PR000208,2019-07-21,SKU0030,339,0.52,Labor Issue
PR000209,2024-08-26,SKU0020,596,0.23,Maintenance
PR000210,2020-06-01,SKU0006,1468,3.45,None
PR000211,2022-09-10,SKU0028,756,0.3,Labor Issue
PR000212,2022-12-06,SKU0025,1045,2.75,None
PR000213,2022-09-03,SKU0029,290,0.1,Labor Issue
PR000214,2020-11-11,SKU0010,1508,5.93,Machine Failure
PR000215,2024-06-11,SKU0028,1807,2.48,Maintenance
PR000216,2023-01-31,SKU0010,305,0.01,Machine Failure
PR000217,2020-02-29,SKU0008,633,2.89,Maintenance
PR000218,2024-05-22,SKU0001,1151,1.44,Material Shortage
PR000219,2023-09-09,SKU0013,624,3.02,Labor Issue
PR000220,2021-02-16,SKU0024,938,1.48,Material Shortage
PR000221,2024-11-15,SKU0009,1296,2.05,Material Shortage
PR000222,2024-01-01,SKU0022,847,3.09,Maintenance
PR000223,2019-07-27,SKU0010,441,1.04,Machine Failure
PR000224,2023-03-18,SKU0015,502,0.01,None
PR000225,2023-07-18,SKU0005,129,3.79,Maintenance
PR000226,2019-01-22,SKU0022,1155,0.96,None
PR000227,2019-06-03,SKU0016,596,1.37,Material Shortage
PR000228,2024-05-16,SKU0013,1958,0.02,None
PR000229,2019-08-07,SKU0022,1505,1.35,Machine Failure
PR000230,2020-10-30,SKU0025,861,8.61,Maintenance
PR000231,2023-02-27,SKU0020,1413,0.65,Machine Failure
PR000232,2024-08-29,SKU0018,592,1.01,Machine Failure
PR000233,2021-08-07,SKU0011,998,2.32,Maintenance
PR000234,2020-02-07,SKU0027,324,3.37,Machine Failure
PR000235,2020-08-18,SKU0009,1092,1.08,Labor Issue
PR000236,2022-12-08,SKU0016,1683,0.74,Labor Issue
PR000237,2022-03-03,SKU0002,447,5.56,Labor Issue
PR000238,2023-10-09,SKU0026,1551,2.26,None
PR000239,2022-07-30,SKU0025,818,0.25,Machine Failure
PR000240,2019-03-14,SKU0002,1640,0.14,Maintenance
PR000241,2020-04-25,SKU0012,1188,1.32,Maintenance
PR000242,2020-07-13,SKU0008,1511,0.5,None
PR000243,2021-01-14,SKU0009,1736,0.59,Maintenance
PR000244,2023-01-06,SKU0012,708,4.2,Labor Issue
PR000245,2019-04-10,SKU0026,1449,0.19,Machine Failure
PR000246,2021-12-18,SKU0009,1720,2.51,Maintenance
PR000247,2020-02-17,SKU0010,1857,0.63,Maintenance
PR000248,2021-12-24,SKU0025,264,2.86,Material Shortage
PR000249,2022-03-23,SKU0002,1898,2.56,Material Shortage
PR000250,2024-07-01,SKU0016,611,0.01,Material Shortage
PR000251,2021-03-31,SKU0020,1365,1.42,Machine Failure
PR000252,2020-10-23,SKU0007,831,0.3,Labor Issue
PR000253,2020-07-13,SKU0028,1749,4.02,Labor Issue
PR000254,2022-06-25,SKU0002,1301,4.1,Labor Issue
PR000255,2023-12-19,SKU0001,673,1.08,Machine Failure
PR000256,2020-09-01,SKU0019,1462,1.18,Machine Failure
PR000257,2019-01-25,SKU0028,156,0.72,Material Shortage
PR000258,2024-07-21,SKU0004,1445,2.52,Maintenance
PR000259,2019-10-11,SKU0024,250,0.89,None
PR000260,2023-01-12,SKU0022,877,0.62,None
PR000261,2019-10-28,SKU0027,1632,1.13,Maintenance
PR000262,2021-12-27,SKU0002,529,0.19,Material Shortage
PR000263,2021-10-27,SKU0025,326,2.75,Maintenance
PR000264,2021-03-27,SKU0014,960,0.03,Maintenance
PR000265,2019-03-24,SKU0002,894,2.07,None
PR000266,2024-04-04,SKU0029,96,0.4,Material Shortage
PR000267,2024-09-24,SKU0015,512,0.53,Machine Failure
PR000268,2020-09-09,SKU0012,215,2.02,None
PR000269,2019-06-25,SKU0005,1155,9.91,Machine Failure
PR000270,2022-04-04,SKU0028,1283,3.01,Material Shortage
PR000271,2021-04-21,SKU0020,124,0.51,Maintenance
PR000272,2020-01-05,SKU0029,1105,0.39,Labor Issue
PR000273,2023-12-24,SKU0007,1306,4.02,Labor Issue
PR000274,2024-10-02,SKU0024,1706,1.17,Material Shortage
PR000275,2020-11-20,SKU0021,58,0.29,Labor Issue
PR000276,2023-11-15,SKU0010,1567,3.96,Machine Failure
PR000277,2022-09-26,SKU0014,160,3.39,Labor Issue
PR000278,2022-12-03,SKU0014,283,8.26,Material Shortage
PR000279,2020-01-02,SKU0005,105,4.81,Material Shortage
PR000280,2020-10-05,SKU0018,1128,3.82,Machine Failure
PR000281,2019-03-14,SKU0024,1462,0.11,Labor Issue
PR000282,2022-06-25,SKU0014,227,0.22,Labor Issue
PR000283,2021-05-09,SKU0002,1723,1.68,Maintenance
PR000284,2019-02-12,SKU0026,1605,1.52,None
PR000285,2021-11-30,SKU0012,317,1.22,Material Shortage
PR000286,2023-02-25,SKU0022,1487,1.01,Maintenance
PR000287,2024-09-17,SKU0024,801,1.13,Material Shortage
PR000288,2020-01-04,SKU0006,1622,1.68,Maintenance
PR000289,2019-05-31,SKU0004,1905,0.0,None
PR000290,2022-02-08,SKU0013,873,0.6,Maintenance
PR000291,2023-02-12,SKU0004,471,1.46,Material Shortage
PR000292,2022-12-30,SKU0022,1079,2.56,Labor Issue
PR000293,2021-12-06,SKU0014,624,0.38,Material Shortage
PR000294,2021-10-20,SKU0016,12,1.58,Machine Failure
PR000295,2023-05-18,SKU0029,1463,2.51,Machine Failure
PR000296,2024-08-02,SKU0004,1041,1.18,Machine Failure
PR000297,2022-10-21,SKU0024,693,0.05,Machine Failure
PR000298,2019-03-10,SKU0025,972,1.19,None
PR000299,2021-08-01,SKU0001,112,0.7,Labor Issue
PR000300,2021-03-12,SKU0013,228,5.31,Labor Issue
PR000301,2019-03-02,SKU0004,170,0.27,Material Shortage
PR000302,2021-08-03,SKU0020,294,2.11,Maintenance
PR000303,2022-08-30,SKU0018,188,0.11,Material Shortage
PR000304,2022-03-30,SKU0006,425,1.18,Material Shortage
PR000305,2019-11-27,SKU0003,976,1.61,Material Shortage
PR000306,2023-04-01,SKU0023,1102,0.71,Material Shortage
PR000307,2019-12-04,SKU0013,657,1.21,Labor Issue
PR000308,2023-06-18,SKU0027,918,0.36,Maintenance
PR000309,2022-08-20,SKU0016,1205,0.73,Material Shortage
PR000310,2023-03-07,SKU0027,498,1.94,Labor Issue
PR000311,2023-08-01,SKU0005,1821,0.72,Material Shortage
PR000312,2022-09-23,SKU0004,761,4.6,Machine Failure
PR000313,2023-04-23,SKU0021,865,1.98,Material Shortage
PR000314,2019-10-02,SKU0008,825,1.15,Material Shortage
PR000315,2022-04-02,SKU0019,1731,0.08,None
PR000316,2024-06-16,SKU0014,1858,1.38,Machine Failure
PR000317,2021-05-19,SKU0007,70,2.89,Maintenance
PR000318,2021-10-11,SKU0014,247,0.62,Material Shortage
PR000319,2024-03-26,SKU0006,145,3.29,Maintenance
PR000320,2020-08-25,SKU0012,1641,0.58,Machine Failure
PR000321,2023-12-05,SKU0016,1798,3.47,Material Shortage
PR000322,2020-11-21,SKU0017,1319,0.18,None
PR000323,2020-05-08,SKU0013,581,4.02,Labor Issue
PR000324,2020-05-04,SKU0023,469,1.38,None
PR000325,2020-01-25,SKU0014,1529,0.7,None
PR000326,2019-10-22,SKU0029,192,0.62,Labor Issue
PR000327,2022-10-24,SKU0007,1091,1.13,Labor Issue
PR000328,2023-09-14,SKU0014,493,13.92,Labor Issue
PR000329,2020-10-10,SKU0015,1840,0.5,Material Shortage
PR000330,2024-02-17,SKU0012,51,0.22,Maintenance
PR000331,2020-07-21,SKU0017,881,1.76,Maintenance
PR000332,2020-03-20,SKU0009,362,1.34,Labor Issue
PR000333,2019-12-29,SKU0022,1820,1.49,None
PR000334,2024-12-10,SKU0015,916,2.2,Machine Failure
PR000335,2022-04-26,SKU0012,473,0.62,Labor Issue
PR000336,2021-01-11,SKU0002,1869,4.83,None
PR000337,2024-08-03,SKU0005,520,1.14,None
PR000338,2020-11-10,SKU0013,1786,0.28,Material Shortage
PR000339,2023-07-01,SKU0027,1454,2.71,Material Shortage
PR000340,2023-04-22,SKU0020,1867,2.06,Maintenance
PR000341,2022-09-20,SKU0023,1321,0.76,Maintenance
PR000342,2024-11-09,SKU0008,1458,1.94,Machine Failure
PR000343,2019-03-04,SKU0027,1719,0.5,Machine Failure
PR000344,2022-03-08,SKU0014,690,1.18,Machine Failure
PR000345,2022-05-13,SKU0015,1221,4.59,Machine Failure
PR000346,2019-09-13,SKU0011,1151,0.29,None
PR000347,2019-05-15,SKU0001,531,0.98,None
PR000348,2021-05-24,SKU0021,1434,3.44,Maintenance
PR000349,2021-04-01,SKU0003,1957,6.98,Material Shortage
PR000350,2024-11-05,SKU0017,839,1.21,Material Shortage
PR000351,2021-04-02,SKU0028,1088,1.41,Labor Issue
PR000352,2021-08-31,SKU0019,1717,1.7,None
PR000353,2023-11-13,SKU0014,240,5.39,Machine Failure
PR000354,2019-05-01,SKU0022,1392,3.91,Machine Failure
PR000355,2023-06-26,SKU0030,535,0.37,Labor Issue
PR000356,2022-09-26,SKU0023,1407,1.15,Material Shortage
PR000357,2021-10-04,SKU0008,1454,1.25,Machine Failure
PR000358,2021-07-13,SKU0013,1990,3.11,Material Shortage
PR000359,2020-10-06,SKU0027,82,1.85,Labor Issue
PR000360,2024-07-25,SKU0020,981,2.12,Material Shortage
PR000361,2024-08-30,SKU0003,1854,12.64,Material Shortage
PR000362,2019-08-30,SKU0005,1720,0.16,Material Shortage
PR000363,2023-06-08,SKU0009,950,0.5,Machine Failure
PR000364,2021-03-13,SKU0029,1851,1.05,Maintenance
PR000365,2021-08-21,SKU0006,610,0.85,None
PR000366,2019-03-10,SKU0025,573,0.04,Material Shortage
PR000367,2022-02-26,SKU0022,285,0.19,Material Shortage
PR000368,2019-07-15,SKU0002,988,2.28,Material Shortage
PR000369,2024-12-27,SKU0013,1557,4.23,Maintenance
PR000370,2021-01-15,SKU0005,458,1.44,Labor Issue
PR000371,2023-08-16,SKU0028,1235,1.55,Machine Failure
PR000372,2019-10-04,SKU0027,125,0.59,Maintenance
PR000373,2019-03-02,SKU0025,1436,2.92,Material Shortage
PR000374,2024-03-28,SKU0008,1522,2.79,Maintenance
PR000375,2024-09-30,SKU0023,424,1.78,Maintenance
PR000376,2023-11-08,SKU0001,553,0.48,Maintenance
PR000377,2022-08-27,SKU0020,609,0.2,Labor Issue
PR000378,2024-01-12,SKU0012,1984,0.13,None
PR000379,2020-07-20,SKU0023,1566,1.8,Machine Failure
PR000380,2023-04-21,SKU0011,1181,3.49,Labor Issue
PR000381,2020-09-13,SKU0007,111,3.91,Labor Issue
PR000382,2024-07-18,SKU0015,401,1.25,None
PR000383,2022-04-15,SKU0022,1782,3.07,Labor Issue
PR000384,2019-11-10,SKU0024,121,5.87,Maintenance
PR000385,2024-11-14,SKU0011,272,0.64,Maintenance
PR000386,2022-05-21,SKU0029,1317,1.01,Material Shortage
PR000387,2019-05-17,SKU0022,397,5.36,Labor Issue
PR000388,2021-10-26,SKU0026,470,0.83,Material Shortage
PR000389,2024-11-26,SKU0016,984,4.9,Machine Failure
PR000390,2020-10-23,SKU0003,1230,7.93,Maintenance
PR000391,2019-03-28,SKU0020,1133,2.17,Machine Failure
PR000392,2024-10-24,SKU0014,1463,3.4,None
PR000393,2022-08-01,SKU0003,1301,2.77,Maintenance
PR000394,2023-08-28,SKU0001,1986,2.4,Machine Failure
PR000395,2020-05-09,SKU0026,1591,0.73,None
PR000396,2023-07-06,SKU0021,1910,0.12,Machine Failure
PR000397,2024-04-26,SKU0015,1938,0.84,None
PR000398,2021-12-04,SKU0001,568,2.2,None
PR000399,2022-11-25,SKU0017,1963,0.22,Maintenance
PR000400,2020-08-19,SKU0002,1505,0.02,Material Shortage
PR000401,2020-03-25,SKU0029,1826,0.3,None
PR000402,2020-04-29,SKU0020,1137,2.52,None
PR000403,2020-10-07,SKU0006,1916,7.21,Maintenance
PR000404,2023-06-18,SKU0008,896,8.16,Material Shortage
PR000405,2020-10-23,SKU0029,819,1.36,Labor Issue
PR000406,2021-01-27,SKU0016,852,4.07,Labor Issue
PR000407,2019-10-16,SKU0019,1500,2.67,Material Shortage
PR000408,2020-12-21,SKU0001,709,1.39,Machine Failure
PR000409,2020-09-29,SKU0003,1956,1.7,Maintenance
PR000410,2020-05-13,SKU0028,320,0.3,Material Shortage
PR000411,2020-09-25,SKU0003,178,5.55,Labor Issue
PR000412,2023-08-01,SKU0005,896,0.87,None
PR000413,2024-07-23,SKU0027,218,1.18,Labor Issue
PR000414,2019-04-25,SKU0012,788,2.23,None
PR000415,2020-11-04,SKU0012,1972,0.81,Maintenance
PR000416,2023-10-03,SKU0020,1551,0.59,None
PR000417,2022-06-11,SKU0013,491,1.99,Material Shortage
PR000418,2019-05-27,SKU0020,1914,0.05,None
PR000419,2024-12-05,SKU0009,60,2.55,Machine Failure
PR000420,2020-02-16,SKU0007,1077,1.44,Material Shortage
PR000421,2023-08-15,SKU0004,1703,1.86,Maintenance
PR000422,2023-03-13,SKU0019,537,2.0,Material Shortage
PR000423,2019-05-17,SKU0022,847,1.5,Machine Failure
PR000424,2019-01-19,SKU0019,987,1.75,Maintenance
PR000425,2024-05-13,SKU0006,64,2.3,Labor Issue
PR000426,2021-09-28,SKU0027,1635,2.8,Machine Failure
PR000427,2020-03-24,SKU0013,585,2.6,Maintenance
PR000428,2024-05-02,SKU0011,1727,4.07,None
PR000429,2021-08-03,SKU0013,170,0.42,Material Shortage
PR000430,2022-10-09,SKU0013,1296,1.03,Maintenance
PR000431,2023-03-03,SKU0028,1912,5.91,Material Shortage
PR000432,2019-05-21,SKU0025,1722,1.01,None
PR000433,2024-04-04,SKU0022,534,0.27,Maintenance
PR000434,2019-04-03,SKU0028,1414,1.49,Labor Issue
PR000435,2019-08-27,SKU0020,1963,0.23,Machine Failure
PR000436,2019-07-24,SKU0015,692,0.45,Maintenance
PR000437,2022-12-27,SKU0021,1350,12.78,None
PR000438,2019-09-02,SKU0013,107,1.56,Maintenance
PR000439,2021-04-11,SKU0022,1870,0.67,Material Shortage
PR000440,2019-10-22,SKU0011,1185,10.51,Maintenance
PR000441,2021-05-05,SKU0019,813,6.8,Labor Issue
PR000442,2024-08-26,SKU0008,1004,1.16,Maintenance
PR000443,2019-03-12,SKU0020,451,0.6,Machine Failure
PR000444,2022-07-16,SKU0008,1229,3.65,Maintenance
PR000445,2022-09-10,SKU0010,589,2.51,Material Shortage
PR000446,2019-11-01,SKU0026,1039,2.32,Maintenance
PR000447,2021-10-27,SKU0016,326,4.47,Labor Issue
PR000448,2022-08-30,SKU0019,607,2.34,None
PR000449,2021-03-27,SKU0026,658,0.67,Maintenance
PR000450,2022-01-31,SKU0023,1,2.37,Maintenance
PR000451,2021-03-31,SKU0011,1033,0.73,Machine Failure
PR000452,2019-07-12,SKU0013,433,2.85,Labor Issue
PR000453,2023-11-12,SKU0028,124,1.93,None
PR000454,2020-06-12,SKU0009,1104,0.16,Material Shortage
PR000455,2019-09-08,SKU0020,484,1.44,Maintenance
PR000456,2023-11-24,SKU0024,651,0.84,None
PR000457,2024-07-19,SKU0019,1861,0.8,Material Shortage
PR000458,2022-11-04,SKU0016,1173,1.84,Labor Issue
