shipment_id,purchase_order_id,transport_mode,shipment_cost,transit_delay_days
SH000245,PO00012,Air,4792.81,4
SH000246,PO00746,Road,2595.37,6
SH000247,PO00643,Air,4671.37,-1
SH000248,PO00115,Sea,3000.0,7
SH000249,PO00218,Road,2784.24,1
SH000250,PO00649,Sea,2381.52,-1
SH000251,PO00106,Rail,1204.58,-1
SH000252,PO00691,Sea,217.85,11
SH000253,PO00528,Road,1359.23,9
SH000254,PO00472,Air,2646.67,4
SH000255,PO00754,Road,2023.81,9
SH000256,PO00387,Sea,2352.73,4
SH000257,PO00226,Sea,4907.11,-1
SH000258,PO00481,Air,1881.31,1
SH000259,PO00754,Rail,2370.48,5
SH000260,PO00408,Road,840.87,8
SH000261,PO00457,Air,430.2,1
SH000262,PO00653,Air,3921.97,1
SH000263,PO00711,Air,2939.28,1
SH000264,PO00624,Road,3851.38,10
SH000265,PO00639,Road,919.34,5
SH000266,PO00021,Road,2944.78,2
SH000267,PO00659,Rail,1417.48,2
SH000268,PO00601,Air,1294.7,1
SH000269,PO00203,Sea,255.32,8
SH000270,PO00417,Sea,825.64,9
SH000271,PO00416,Air,1684.49,7
SH000272,PO00448,Sea,761.02,0
SH000273,PO00512,Rail,4932.12,2
SH000274,PO00085,Rail,1681.44,6
SH000275,PO00167,Road,825.55,4
SH000276,PO00384,Road,1155.6,5
SH000277,PO00468,Road,3020.98,11
SH000278,PO00072,Road,507.41,5
SH000279,PO00521,Road,4339.68,0
SH000280,PO00793,Sea,4815.2,2
SH000281,PO00473,Sea,1384.39,8
SH000282,PO00258,Road,2360.46,8
SH000283,PO00275,Rail,306.25,4
SH000284,PO00750,Sea,3275.41,1
SH000285,PO00020,Rail,2186.85,7
SH000286,PO00490,Rail,1496.28,11
SH000287,PO00745,Air,1192.82,2
SH000288,PO00490,Air,3339.31,8
SH000289,PO00733,Road,2197.84,11
SH000290,PO00326,Rail,1062.36,0
SH000291,PO00529,Sea,3507.72,4
SH000292,PO00089,Air,2912.35,-1
SH000293,PO00486,Air,4321.63,4
SH000294,PO00708,Rail,763.88,11
SH000295,PO00350,Air,3971.2,10
SH000296,PO00084,Air,3432.88,8
SH000297,PO00387,Sea,752.05,-1
SH000298,PO00087,Rail,3535.14,6
SH000299,PO00307,Air,2319.43,3
SH000300,PO00154,Rail,4735.93,4
SH000301,PO00440,Air,879.73,0
SH000302,PO00740,Sea,3285.6,0
SH000303,PO00264,Rail,2033.5,10
SH000304,PO00735,Air,4792.71,7
SH000305,PO00421,Sea,1783.88,1
SH000306,PO00493,Air,4818.49,4
SH000307,PO00633,Rail,4527.13,8
SH000308,PO00411,Air,1497.84,3
SH000309,PO00173,Rail,4057.0,10
SH000310,PO00004,Rail,4978.9,2
SH000311,PO00640,Air,1412.78,8
SH000312,PO00472,Sea,2296.53,0
SH000313,PO00110,Road,2696.87,6
SH000314,PO00037,Sea,1615.67,8
SH000315,PO00583,Sea,273.27,5
SH000316,PO00031,Air,1256.62,9
SH000317,PO00381,Sea,1553.3,0
SH000318,PO00268,Sea,2329.28,4
SH000319,PO00011,Road,1021.29,6
SH000320,PO00344,Sea,4391.62,5
SH000321,PO00544,Road,3583.57,-1
SH000322,PO00569,Air,608.96,3
SH000323,PO00166,Road,3320.44,0
SH000324,PO00700,Rail,3337.55,4
SH000325,PO00342,Rail,4789.86,5
SH000326,PO00482,Road,214.5,5
SH000327,PO00019,Rail,1390.08,1
SH000328,PO00628,Air,4653.4,5
SH000329,PO00184,Rail,4674.24,3
SH000330,PO00782,Road,3658.81,6
SH000331,PO00545,Air,3875.66,10
SH000332,PO00010,Rail,639.12,6
SH000333,PO00592,Air,2666.6,5
SH000334,PO00192,Road,1311.6,4
SH000335,PO00320,Rail,1069.85,0
SH000336,PO00702,Air,4089.46,4
SH000337,PO00580,Air,848.18,11
SH000338,PO00475,Rail,2449.53,10
SH000339,PO00637,Air,4705.18,9
SH000340,PO00427,Air,1091.99,7
SH000341,PO00059,Road,4894.37,0
SH000342,PO00436,Road,4972.58,-1
SH000343,PO00097,Road,2866.96,9
SH000344,PO00496,Road,1016.69,11
SH000345,PO00787,Road,1717.3,3
SH000346,PO00661,Road,2237.57,9
SH000347,PO00278,Rail,1684.76,4
SH000348,PO00265,Road,1547.05,1
SH000349,PO00009,Air,4866.7,6
SH000350,PO00457,Rail,936.15,5
SH000351,PO00795,Air,3719.97,0
SH000352,PO00273,Road,201.97,10
SH000353,PO00008,Road,3061.68,5
SH000354,PO00208,Air,4596.53,-1
SH000355,PO00637,Air,1582.08,7
SH000356,PO00123,Air,1090.52,11
SH000357,PO00033,Sea,3328.06,5
SH000358,PO00513,Sea,3620.49,4
SH000359,PO00204,Sea,3502.55,11
SH000360,PO00518,Sea,1732.72,0
SH000361,PO00517,Rail,1410.57,1
SH000362,PO00443,Road,4788.41,-1
SH000363,PO00592,Air,4631.84,8
SH000364,PO00786,Road,2395.12,11
SH000365,PO00689,Air,4261.73,3
SH000366,PO00339,Road,2371.15,7
SH000367,PO00438,Rail,2237.07,11
SH000368,PO00445,Sea,952.46,4
SH000369,PO00136,Road,2246.75,3
SH000370,PO00387,Air,2779.6,10
SH000371,PO00025,Road,308.02,1
SH000372,PO00506,Rail,2331.74,3
SH000373,PO00325,Rail,3950.51,6
SH000374,PO00695,Road,3464.22,10
SH000375,PO00680,Sea,3248.75,0
SH000376,PO00338,Air,4565.87,3
SH000377,PO00690,Rail,286.55,4
SH000378,PO00095,Rail,2873.83,8
SH000379,PO00545,Road,3979.27,6
SH000380,PO00623,Rail,2798.41,6
SH000381,PO00146,Rail,1754.7,3
SH000382,PO00231,Air,854.0,7
SH000383,PO00784,Sea,4460.3,2
SH000384,PO00495,Air,2459.66,10
SH000385,PO00038,Sea,4414.95,7
SH000386,PO00425,Air,3012.09,9
SH000387,PO00647,Road,3436.12,5
SH000388,PO00747,Rail,4060.45,4
SH000389,PO00437,Sea,3363.95,2
SH000390,PO00368,Road,2110.66,0
SH000391,PO00345,Rail,2665.44,6
SH000392,PO00160,Rail,4054.62,4
SH000393,PO00550,Rail,1993.52,10
SH000394,PO00662,Air,2062.98,1
SH000395,PO00541,Road,659.31,5
SH000396,PO00144,Road,4590.01,8
SH000397,PO00588,Rail,636.97,5
SH000398,PO00657,Sea,3311.4,4
SH000399,PO00741,Road,2183.33,0
SH000400,PO00576,Air,2146.97,6
SH000401,PO00345,Sea,3461.85,-1
SH000402,PO00269,Sea,522.05,11
SH000403,PO00696,Sea,3049.79,-1
SH000404,PO00773,Sea,3905.75,4
SH000405,PO00268,Road,4175.42,3
SH000406,PO00169,Rail,1018.55,7
SH000407,PO00771,Sea,4507.61,11
SH000408,PO00739,Air,3349.5,10
SH000409,PO00033,Air,4432.9,5
SH000410,PO00377,Rail,2529.35,0
SH000411,PO00214,Road,2801.76,11
SH000412,PO00562,Rail,4611.38,10
SH000413,PO00440,Sea,4519.57,5
SH000414,PO00492,Road,2351.17,1
SH000415,PO00393,Road,1517.18,-1
SH000416,PO00489,Sea,2087.22,9
SH000417,PO00722,Air,2061.27,6
SH000418,PO00029,Sea,1576.96,10
SH000419,PO00039,Rail,1489.18,1
SH000420,PO00612,Sea,4333.1,9
SH000421,PO00173,Air,535.34,6
SH000422,PO00017,Sea,3452.53,5
SH000423,PO00056,Rail,1029.54,10
SH000424,PO00226,Rail,1853.63,0
SH000425,PO00558,Air,495.41,11
SH000426,PO00067,Rail,1495.87,-1
SH000427,PO00197,Rail,3888.42,5
SH000428,PO00654,Sea,4448.07,11
SH000429,PO00023,Road,1263.33,-1
SH000430,PO00606,Rail,2425.03,4
SH000431,PO00754,Rail,2457.56,11
SH000432,PO00237,Air,4393.16,9
SH000433,PO00566,Air,3861.44,8
SH000434,PO00138,Sea,2662.77,9
SH000435,PO00473,Sea,3419.59,8
SH000436,PO00784,Rail,4267.3,6
SH000437,PO00553,Road,245.79,5
SH000438,PO00610,Road,2133.87,2
SH000439,PO00695,Sea,4554.77,-1
SH000440,PO00640,Air,3753.5,-1
SH000441,PO00229,Rail,2805.64,2
SH000442,PO00317,Rail,2742.29,3
SH000443,PO00598,Road,1869.3,10
SH000444,PO00768,Sea,2698.5,5
SH000445,PO00721,Road,3345.84,2
SH000446,PO00727,Road,2208.14,8
SH000447,PO00612,Sea,3627.94,10
SH000448,PO00561,Air,4333.91,-1
SH000449,PO00201,Rail,942.49,9
SH000450,PO00258,Air,2367.43,8
SH000451,PO00480,Sea,2158.5,5
SH000452,PO00178,Sea,3499.83,0
SH000453,PO00757,Rail,1399.36,11
SH000454,PO00123,Air,3273.2,9
SH000455,PO00342,Rail,4411.95,0
SH000456,PO00171,Road,2207.03,6
SH000457,PO00648,Road,4572.88,10
SH000458,PO00059,Road,4967.19,8
SH000459,PO00705,Air,709.24,8
SH000460,PO00465,Road,1318.66,8
SH000461,PO00780,Rail,4761.82,3
SH000462,PO00260,Air,4799.97,8
SH000463,PO00373,Rail,668.99,0
SH000464,PO00095,Sea,271.99,3
SH000465,PO00125,Air,973.28,6
SH000466,PO00041,Rail,4980.86,4
SH000467,PO00254,Rail,1064.0,1
SH000468,PO00007,Air,2612.23,6
SH000469,PO00471,Sea,4272.41,7
SH000470,PO00728,Air,297.93,3
SH000471,PO00511,Road,3101.55,11
SH000472,PO00581,Road,1529.72,0
SH000473,PO00069,Sea,4339.21,0
SH000474,PO00081,Rail,1560.61,5
SH000475,PO00542,Rail,3496.43,-1
SH000476,PO00585,Rail,3436.25,8
SH000477,PO00262,Air,1263.17,10
SH000478,PO00089,Air,367.04,0
SH000479,PO00208,Sea,2164.4,8
SH000480,PO00213,Road,1588.13,2
SH000481,PO00266,Rail,4083.09,-1
SH000482,PO00293,Road,4041.75,2
SH000483,PO00207,Air,2393.71,11
SH000484,PO00333,Air,3111.26,10
SH000485,PO00077,Air,3100.45,9
SH000486,PO00288,Road,4170.36,11
SH000487,PO00047,Sea,2240.01,8
SH000488,PO00622,Sea,1522.14,3
SH000489,PO00200,Air,1472.17,7
SH000490,PO00427,Rail,2773.72,-1
SH000491,PO00210,Road,2355.91,10
SH000492,PO00420,Air,2312.58,3
SH000493,PO00154,Road,637.46,0
SH000494,PO00522,Road,3649.3,7
SH000495,PO00415,Sea,1225.94,4
SH000496,PO00353,Air,1145.38,0
SH000497,PO00157,Sea,2181.24,1
SH000498,PO00261,Air,1293.34,6
SH000499,PO00077,Road,3002.52,-1
SH000500,PO00769,Sea,1983.02,10
SH000501,PO00488,Road,2354.78,1
SH000502,PO00131,Air,2778.41,11
SH000503,PO00579,Rail,1176.97,8
SH000504,PO00455,Sea,947.61,-1
SH000505,PO00740,Sea,4426.03,9
SH000506,PO00163,Road,2281.87,9
SH000507,PO00015,Road,2178.05,6
SH000508,PO00232,Rail,370.94,-1
SH000509,PO00195,Sea,2590.29,11
SH000510,PO00542,Air,2860.01,3
SH000511,PO00359,Air,2882.44,2
SH000512,PO00331,Sea,3593.75,5
SH000513,PO00427,Sea,1051.91,3
SH000514,PO00497,Sea,1410.67,6
SH000515,PO00486,Rail,4091.51,10
SH000516,PO00449,Air,4746.42,9
SH000517,PO00413,Air,852.48,-1
SH000518,PO00330,Road,2588.72,3
SH000519,PO00732,Road,1228.05,2
SH000520,PO00147,Sea,488.35,1
SH000521,PO00259,Road,1762.42,3
SH000522,PO00292,Rail,889.7,8
SH000523,PO00143,Air,3607.68,1
SH000524,PO00747,Air,2761.88,6
SH000525,PO00627,Road,890.41,11
SH000526,PO00365,Sea,244.36,1
SH000527,PO00090,Road,4079.15,-1
SH000528,PO00720,Sea,1045.73,7
SH000529,PO00164,Rail,3109.84,7
SH000530,PO00481,Air,1817.23,4
SH000531,PO00084,Rail,3010.33,8
SH000532,PO00077,Air,1715.14,-1
SH000533,PO00673,Rail,617.31,6
SH000534,PO00517,Road,1270.16,0
SH000535,PO00485,Rail,1102.68,7
SH000536,PO00590,Rail,2254.49,6
SH000537,PO00603,Road,3359.76,1
SH000538,PO00599,Air,1466.27,11
SH000539,PO00782,Air,257.94,3
SH000540,PO00104,Road,2690.9,7
SH000541,PO00452,Rail,3107.65,11
SH000542,PO00487,Rail,4821.78,-1
SH000543,PO00339,Rail,3029.46,7
SH000544,PO00687,Sea,2461.63,2
SH000545,PO00566,Air,2952.33,2
SH000546,PO00478,Rail,4653.92,2
SH000547,PO00723,Air,4176.22,8
SH000548,PO00607,Rail,1750.3,10
SH000549,PO00223,Road,1338.82,7
SH000550,PO00009,Road,1460.64,4
SH000551,PO00053,Air,2621.22,9
SH000552,PO00077,Air,3771.44,6
SH000553,PO00718,Road,2615.45,10
SH000554,PO00503,Sea,525.42,2
SH000555,PO00316,Road,3673.19,1
SH000556,PO00624,Rail,4068.66,-1
SH000557,PO00165,Sea,1589.59,8
SH000558,PO00279,Road,3387.8,5
SH000559,PO00027,Sea,2247.64,2
SH000560,PO00070,Sea,4467.77,6
SH000561,PO00218,Sea,4257.08,1
SH000562,PO00365,Air,2722.07,-1
SH000563,PO00701,Road,3519.23,3
SH000564,PO00306,Air,4440.08,0
SH000565,PO00124,Air,2579.44,1
SH000566,PO00019,Rail,1703.6,4
SH000567,PO00257,Rail,3817.6,1
SH000568,PO00296,Sea,1256.32,1
SH000569,PO00022,Sea,2064.95,10
SH000570,PO00450,Rail,4355.49,4
SH000571,PO00552,Rail,3677.23,3
SH000572,PO00550,Road,2138.29,8
SH000573,PO00048,Sea,1230.77,7
SH000574,PO00695,Sea,1908.65,-1
SH000575,PO00587,Rail,1563.7,11
SH000576,PO00721,Road,1045.23,1
SH000577,PO00183,Rail,3768.0,1
SH000578,PO00435,Rail,1409.94,9
SH000579,PO00107,Air,2380.0,4
SH000580,PO00188,Sea,2052.13,6
SH000581,PO00776,Road,4913.97,1
SH000582,PO00086,Air,2077.24,1
SH000583,PO00456,Sea,583.92,4
SH000584,PO00137,Rail,631.16,6
SH000585,PO00336,Road,3035.62,4
SH000586,PO00607,Sea,3076.95,11
SH000587,PO00757,Rail,2210.04,10
SH000588,PO00469,Air,2272.85,8
SH000589,PO00602,Road,458.88,1
SH000590,PO00571,Sea,2679.42,2
SH000591,PO00403,Air,2622.75,-1
SH000592,PO00540,Rail,917.84,11
SH000593,PO00072,Rail,698.43,6
SH000594,PO00782,Sea,793.15,2
SH000595,PO00024,Rail,684.94,4
SH000596,PO00624,Road,3126.6,9
SH000597,PO00485,Sea,1143.12,1
SH000598,PO00056,Air,1406.86,9
SH000599,PO00223,Sea,1033.15,10
SH000600,PO00632,Sea,4797.61,9
SH000601,PO00179,Air,4302.16,4
SH000602,PO00800,Rail,1306.38,10
SH000603,PO00434,Air,1772.32,9
SH000604,PO00450,Road,1207.49,7
SH000605,PO00793,Rail,2561.0,7
SH000606,PO00492,Sea,294.13,8
SH000607,PO00189,Rail,3422.57,1
SH000608,PO00578,Rail,2711.16,1
SH000609,PO00420,Road,4513.47,2
SH000610,PO00249,Rail,989.08,10
SH000611,PO00588,Rail,4059.72,5
SH000612,PO00649,Rail,4001.41,1
SH000613,PO00164,Sea,810.47,8
SH000614,PO00745,Rail,2113.08,6
SH000615,PO00255,Air,1016.73,9
SH000616,PO00476,Rail,1422.66,6
SH000617,PO00417,Road,1463.58,4
SH000618,PO00170,Rail,2869.93,2
SH000619,PO00317,Rail,2174.77,9
SH000620,PO00174,Sea,4749.12,10
SH000621,PO00470,Air,806.58,9
SH000622,PO00345,Rail,4873.72,3
SH000623,PO00445,Air,1307.07,10
SH000624,PO00018,Road,3909.79,0
SH000625,PO00070,Sea,1827.06,11
SH000626,PO00338,Air,886.79,4
SH000627,PO00628,Sea,4317.87,1
SH000628,PO00592,Rail,1682.53,4
SH000629,PO00527,Road,3362.51,10
SH000630,PO00688,Sea,2918.93,3
SH000631,PO00456,Rail,2464.43,0
SH000632,PO00269,Air,2579.93,10
SH000633,PO00631,Road,3714.74,11
SH000634,PO00188,Road,621.31,3
SH000635,PO00569,Air,3407.27,3
SH000636,PO00711,Air,4499.9,7
SH000637,PO00529,Road,477.38,9
SH000638,PO00434,Sea,875.14,6
SH000639,PO00288,Road,3639.83,10
SH000640,PO00567,Air,2298.95,10
SH000641,PO00499,Sea,2137.03,5
SH000642,PO00441,Rail,857.44,10
SH000643,PO00781,Road,2632.5,11
SH000644,PO00303,Air,807.42,1
SH000645,PO00087,Rail,2487.78,8
SH000646,PO00438,Road,3865.35,2
SH000647,PO00541,Road,1439.67,4
SH000648,PO00022,Sea,2507.77,1
SH000649,PO00797,Air,4961.68,9
SH000650,PO00560,Rail,3495.92,7
SH000651,PO00517,Road,4238.51,6
SH000652,PO00762,Sea,2191.27,4
SH000653,PO00675,Rail,3885.73,2
SH000654,PO00503,Rail,394.44,5
SH000655,PO00714,Road,789.97,11
SH000656,PO00467,Rail,1174.74,9
SH000657,PO00101,Road,2129.37,1
SH000658,PO00583,Sea,4259.58,8
SH000659,PO00675,Sea,1862.08,6
SH000660,PO00685,Rail,3342.18,-1
SH000661,PO00141,Road,3604.71,1
SH000662,PO00138,Air,3013.68,9
SH000663,PO00578,Sea,1914.76,3
SH000664,PO00710,Road,2969.86,3
SH000665,PO00228,Road,1842.87,8
SH000666,PO00281,Road,602.59,0
SH000667,PO00684,Rail,4965.46,8
SH000668,PO00431,Air,810.48,6
SH000669,PO00040,Rail,547.27,3
SH000670,PO00519,Sea,4416.95,5
SH000671,PO00686,Rail,1648.81,5
SH000672,PO00663,Road,3321.43,3
SH000673,PO00211,Rail,1779.23,6
SH000674,PO00302,Road,2078.98,7
SH000675,PO00086,Air,1458.14,2
SH000676,PO00397,Rail,1846.61,2
SH000677,PO00253,Rail,2171.36,6
SH000678,PO00533,Rail,3658.0,-1
SH000679,PO00769,Road,2655.37,2
SH000680,PO00381,Road,4729.11,4
SH000681,PO00444,Rail,401.03,11
SH000682,PO00033,Rail,2614.73,2
SH000683,PO00260,Air,3004.28,4
