date,sku,historical_demand,forecasted_demand
2020-09-03,SKU0016,1150,1067
2022-02-26,SKU0015,823,628
2019-02-26,SKU0026,517,647
2022-04-19,SKU0015,128,410
2019-09-03,SKU0001,510,441
2019-05-24,SKU0024,422,314
2020-01-03,SKU0023,384,434
2023-01-22,SKU0023,231,40
2020-09-07,SKU0012,958,808
2024-02-25,SKU0010,824,972
2023-05-08,SKU0014,1218,1311
2020-11-29,SKU0010,64,0
2021-05-25,SKU0010,832,1119
2023-08-13,SKU0020,614,805
2021-08-02,SKU0029,1300,1348
2021-07-11,SKU0011,1247,1148
2023-10-13,SKU0022,800,936
2019-01-25,SKU0016,277,159
2023-08-15,SKU0029,365,355
2023-04-09,SKU0009,515,731
2021-12-19,SKU0015,1238,1180
2020-03-09,SKU0014,438,474
2021-12-25,SKU0019,427,513
2024-05-05,SKU0009,728,804
2024-11-23,SKU0004,395,581
2019-04-06,SKU0021,1232,1413
2019-06-17,SKU0007,1486,1735
2024-09-20,SKU0022,585,675
2024-03-17,SKU0026,1250,1218
2024-11-21,SKU0008,374,616
2024-02-12,SKU0024,947,890
2024-06-21,SKU0008,92,75
2022-02-07,SKU0019,1483,1327
2024-07-03,SKU0015,320,362
2021-01-18,SKU0016,1033,1147
2024-03-06,SKU0030,913,1146
2021-04-10,SKU0026,1326,1594
2019-02-18,SKU0022,1345,1412
2019-04-25,SKU0023,1479,1754
2022-03-24,SKU0009,1301,1353
2023-07-31,SKU0026,1416,1611
2019-03-12,SKU0026,916,1004
2022-09-21,SKU0030,94,105
2019-03-08,SKU0012,958,1245
2023-02-25,SKU0016,1130,1106
2023-08-01,SKU0004,1413,1233
2023-11-13,SKU0005,70,185
2021-08-24,SKU0008,663,514
2023-11-25,SKU0001,968,1205
2020-09-04,SKU0028,586,808
2024-03-01,SKU0006,1399,1431
2023-06-11,SKU0015,726,958
2020-11-27,SKU0004,367,289
2022-05-22,SKU0021,50,211
2019-09-06,SKU0011,1166,1413
2020-09-29,SKU0005,1442,1341
2021-08-07,SKU0018,987,1000
2024-03-19,SKU0024,1190,1399
2022-01-16,SKU0015,259,385
2019-06-25,SKU0018,1215,1149
2020-12-23,SKU0020,1225,1480
2021-02-09,SKU0028,1208,1325
2024-05-01,SKU0013,157,174
2020-12-03,SKU0005,98,0
2024-10-29,SKU0030,240,319
2021-07-15,SKU0001,201,40
2019-05-18,SKU0022,633,672
2022-02-23,SKU0018,1119,1250
2024-04-24,SKU0014,745,975
2024-03-06,SKU0005,489,424
2024-02-22,SKU0006,578,559
2022-06-07,SKU0027,1241,1305
2023-01-23,SKU0024,526,584
2022-09-30,SKU0025,272,253
2019-11-06,SKU0029,1242,1062
2021-11-09,SKU0028,785,935
2023-07-29,SKU0016,1355,1586
2023-04-14,SKU0022,452,682
2023-05-03,SKU0021,1175,1446
2023-02-09,SKU0012,346,341
2021-02-08,SKU0020,815,826
2019-01-16,SKU0018,413,659
2020-08-28,SKU0002,430,245
2022-10-13,SKU0023,378,379
2021-03-23,SKU0021,997,1159
2024-06-13,SKU0023,894,911
2021-06-13,SKU0013,427,319
2023-04-17,SKU0027,1107,1039
2020-02-18,SKU0017,191,129
2019-01-25,SKU0017,40,0
2024-06-27,SKU0016,1332,1624
2019-11-12,SKU0021,1401,1535
2020-07-24,SKU0018,135,4
2020-12-25,SKU0008,105,208
2024-01-24,SKU0030,518,332
2022-07-23,SKU0003,813,847
2024-05-07,SKU0017,125,136
2020-01-24,SKU0029,1380,1469
2020-03-19,SKU0018,399,258
2021-08-28,SKU0026,78,129
2024-05-18,SKU0026,388,633
2024-01-03,SKU0023,73,0
2019-10-31,SKU0006,1028,1063
2021-02-02,SKU0028,1486,1621
2024-05-27,SKU0008,81,0
2021-03-26,SKU0023,775,1056
2024-11-29,SKU0030,990,838
2021-05-27,SKU0026,1428,1305
2020-12-03,SKU0013,277,548
2021-08-01,SKU0008,839,666
2024-08-22,SKU0019,223,70
2019-10-30,SKU0006,1091,986
2023-04-29,SKU0029,1343,1307
2019-06-09,SKU0023,605,862
2022-04-18,SKU0015,18,250
2022-04-06,SKU0010,639,803
2022-03-19,SKU0027,1366,1341
2024-08-25,SKU0017,1366,1238
2022-01-19,SKU0001,96,367
2022-02-17,SKU0007,1075,1230
2024-06-02,SKU0029,174,2
2019-09-10,SKU0027,1361,1604
2022-12-03,SKU0013,1376,1332
2024-09-09,SKU0003,1414,1527
2020-12-31,SKU0019,1138,1241
2020-05-12,SKU0015,347,425
2022-11-29,SKU0005,0,82
2020-07-01,SKU0011,62,340
2021-08-18,SKU0022,225,515
2019-05-12,SKU0018,422,228
2022-09-09,SKU0003,1042,1146
2021-05-07,SKU0006,30,11
2022-03-01,SKU0003,844,752
2024-07-25,SKU0030,632,755
2020-06-04,SKU0005,23,28
2019-01-30,SKU0009,836,869
2024-08-13,SKU0028,982,1207
2020-05-23,SKU0019,1234,1491
2022-06-14,SKU0028,160,146
2023-04-08,SKU0027,1278,1505
2019-01-16,SKU0013,113,394
2021-09-23,SKU0029,503,712
2023-05-27,SKU0006,954,1160
2024-01-14,SKU0011,1243,1371
2024-07-09,SKU0021,356,512
2022-06-07,SKU0021,168,0
2023-10-10,SKU0027,968,820
2021-12-24,SKU0030,241,438
2022-09-23,SKU0014,1398,1396
2020-01-13,SKU0006,138,328
2022-04-13,SKU0006,96,32
2020-04-20,SKU0017,146,204
2022-07-13,SKU0011,1205,1338
2019-11-25,SKU0015,1080,1280
2024-01-14,SKU0009,1065,1362
2022-04-01,SKU0021,865,836
2020-03-13,SKU0017,542,427
2022-10-22,SKU0024,691,536
2023-11-09,SKU0007,1025,1170
2022-05-07,SKU0007,1311,1296
2023-03-04,SKU0030,1161,1116
2024-08-25,SKU0021,903,1195
2024-01-19,SKU0001,729,926
2022-08-12,SKU0025,1245,1053
2021-05-17,SKU0027,330,244
2023-12-17,SKU0025,616,569
2021-09-10,SKU0008,403,332
2022-06-16,SKU0005,507,637
2022-08-17,SKU0030,1150,1030
2024-08-15,SKU0019,1288,1471
2021-10-15,SKU0008,1038,1127
2023-11-25,SKU0017,225,171
2021-03-17,SKU0019,983,1077
2024-03-08,SKU0012,864,1129
2022-11-10,SKU0027,1128,1196
2022-08-11,SKU0023,744,676
2022-02-15,SKU0030,492,341
2020-02-09,SKU0015,318,140
2023-11-22,SKU0004,1242,1419
2020-08-16,SKU0023,1300,1475
2019-01-12,SKU0012,772,659
2022-08-10,SKU0027,1364,1576
2023-03-23,SKU0013,451,362
2024-10-26,SKU0014,1392,1302
2020-09-05,SKU0005,943,814
2024-06-09,SKU0022,847,800
2021-05-18,SKU0016,1016,1278
2021-03-22,SKU0030,1497,1353
2023-12-28,SKU0007,1213,1269
2021-02-05,SKU0015,883,838
2019-03-23,SKU0013,418,330
2023-10-11,SKU0026,864,981
2020-06-05,SKU0016,788,634
2022-08-20,SKU0012,494,531
2021-09-20,SKU0007,1062,1195
2023-03-06,SKU0016,161,66
2023-01-09,SKU0023,120,401
2023-02-22,SKU0023,398,384
2021-02-19,SKU0027,1285,1243
2022-12-22,SKU0013,727,724
2020-07-12,SKU0029,560,741
2024-11-08,SKU0023,603,579
2024-07-30,SKU0003,1152,1212
2023-10-20,SKU0015,539,625
2021-05-09,SKU0028,355,447
2023-06-01,SKU0003,659,793
2020-07-09,SKU0007,431,373
2019-06-05,SKU0030,1088,1195
2024-08-11,SKU0018,1241,1531
2022-10-12,SKU0014,562,558
2021-04-04,SKU0018,1450,1725
2023-05-12,SKU0019,816,840
2021-12-17,SKU0014,1097,1291
2022-04-18,SKU0020,1483,1325
2020-05-07,SKU0006,1448,1701
2020-10-30,SKU0029,710,660
2019-03-16,SKU0008,1215,1310
2020-01-06,SKU0026,1212,1074
2020-08-09,SKU0026,11,0
2019-11-25,SKU0007,238,292
2020-08-12,SKU0020,452,714
2023-11-26,SKU0018,382,524
2021-02-15,SKU0018,781,794
2024-07-15,SKU0015,47,0
2020-08-01,SKU0020,316,546
2019-08-09,SKU0022,208,111
2022-04-02,SKU0019,1142,1099
2023-02-12,SKU0022,576,647
2023-09-04,SKU0021,314,428
2023-10-12,SKU0021,753,790
2019-07-07,SKU0002,1059,1161
2022-04-29,SKU0008,1486,1657
2022-01-14,SKU0021,914,871
2021-04-23,SKU0011,754,662
2020-06-14,SKU0018,553,361
2021-12-06,SKU0023,402,522
2021-08-20,SKU0013,1130,988
2022-03-15,SKU0009,38,195
2022-11-06,SKU0009,580,571
2020-05-31,SKU0017,179,114
2024-03-03,SKU0007,11,61
2023-01-31,SKU0009,1362,1540
2022-01-22,SKU0022,942,1177
2019-05-13,SKU0001,547,492
2019-11-10,SKU0002,1149,1295
2020-08-13,SKU0004,62,327
2023-03-24,SKU0014,843,994
2024-02-29,SKU0004,1105,962
2023-06-15,SKU0002,1008,984
2021-01-17,SKU0008,1322,1409
2023-02-06,SKU0018,33,77
2021-03-11,SKU0019,751,598
2023-02-06,SKU0014,48,148
2022-10-11,SKU0020,657,894
2020-11-10,SKU0025,700,855
2024-12-01,SKU0010,1080,979
2021-06-15,SKU0017,108,120
2023-03-27,SKU0008,984,1085
2023-11-29,SKU0028,23,302
2024-10-13,SKU0014,220,434
2020-11-14,SKU0021,314,278
2022-07-19,SKU0023,293,492
2023-08-13,SKU0008,1033,1262
2022-10-17,SKU0005,1019,944
2021-07-31,SKU0016,1017,1118
2022-08-02,SKU0008,637,898
2021-10-30,SKU0010,266,186
2023-06-09,SKU0027,87,0
2021-03-19,SKU0008,454,470
2019-06-20,SKU0009,1171,1031
2023-04-03,SKU0018,756,857
2023-05-15,SKU0003,430,408
2023-06-12,SKU0017,910,899
2019-01-27,SKU0020,241,203
2021-10-10,SKU0015,701,581
2021-12-27,SKU0021,901,1194
2020-02-12,SKU0027,740,709
2022-02-06,SKU0017,65,165
2019-03-15,SKU0008,971,1144
2020-11-10,SKU0002,377,372
2022-10-23,SKU0017,387,389
2021-04-28,SKU0018,780,626
2021-05-19,SKU0029,208,470
2019-08-25,SKU0005,1438,1395
2021-06-24,SKU0009,15,222
2020-09-10,SKU0009,1320,1313
2021-10-29,SKU0002,985,1211
2022-08-06,SKU0002,1243,1460
2021-04-26,SKU0019,366,444
2024-04-07,SKU0023,779,895
2020-09-25,SKU0027,1252,1530
2021-10-14,SKU0003,439,659
2019-01-08,SKU0017,689,757
2022-10-24,SKU0014,1473,1753
2021-12-04,SKU0014,1059,1057
2023-11-16,SKU0014,846,869
2023-07-01,SKU0006,421,483
2022-05-01,SKU0003,1212,1437
2021-04-28,SKU0001,1201,1166
2022-10-12,SKU0030,607,586
2019-03-03,SKU0016,1338,1565
2021-12-21,SKU0029,19,10
2023-12-23,SKU0004,675,871
2020-09-24,SKU0029,381,396
2021-03-02,SKU0001,608,691
2022-07-24,SKU0017,142,293
2022-12-25,SKU0028,61,0
2022-02-12,SKU0018,1265,1530
2023-09-08,SKU0026,237,134
2020-06-08,SKU0008,1154,1321
2024-07-13,SKU0002,1146,1427
2021-06-17,SKU0027,1463,1761
2021-02-25,SKU0018,926,955
2022-09-22,SKU0027,341,397
2019-06-22,SKU0027,1442,1284
2021-09-26,SKU0016,454,495
2023-12-16,SKU0026,1221,1062
2019-03-05,SKU0010,281,175
2022-09-07,SKU0008,885,1118
2021-09-01,SKU0012,1024,1077
2019-03-07,SKU0022,722,709
2024-02-10,SKU0016,1355,1539
2023-06-11,SKU0012,1235,1341
2020-04-02,SKU0011,86,285
2023-05-22,SKU0020,664,630
2024-05-11,SKU0019,861,931
2023-10-07,SKU0001,60,0
2022-12-20,SKU0027,796,756
2024-05-13,SKU0003,94,0
2024-05-08,SKU0012,785,893
2019-10-07,SKU0030,1170,1458
2021-11-06,SKU0009,1269,1294
2021-08-19,SKU0021,960,904
2024-04-26,SKU0029,296,440
2022-05-02,SKU0022,1146,1193
2020-01-10,SKU0005,693,854
2024-03-26,SKU0001,1479,1284
2019-02-04,SKU0010,398,228
2022-10-24,SKU0017,945,941
2024-09-07,SKU0004,1254,1285
2021-02-13,SKU0015,533,628
2019-08-09,SKU0019,401,614
2024-10-01,SKU0027,129,253
2024-10-24,SKU0008,291,550
2020-05-08,SKU0028,275,209
2023-09-08,SKU0028,911,1203
2024-12-04,SKU0023,1399,1211
2019-10-07,SKU0015,925,1221
2021-01-15,SKU0027,54,0
2023-01-14,SKU0007,738,715
2024-02-01,SKU0015,1049,1082
2023-03-22,SKU0008,1464,1522
2022-01-01,SKU0030,764,703
2021-11-25,SKU0026,1220,1084
2024-04-06,SKU0023,641,723
2024-06-28,SKU0010,1266,1428
2020-05-11,SKU0018,723,828
2019-02-13,SKU0004,1213,1217
2024-01-26,SKU0015,801,617
2020-03-29,SKU0011,737,736
2020-08-17,SKU0022,757,588
2022-09-18,SKU0003,566,577
2020-05-21,SKU0015,1299,1533
2021-03-04,SKU0003,1432,1504
2019-01-21,SKU0015,339,428
2022-10-31,SKU0006,152,242
2021-12-30,SKU0001,1421,1703
2022-11-28,SKU0014,1467,1752
2023-05-05,SKU0016,1003,1036
2023-12-20,SKU0001,426,633
2022-11-21,SKU0021,1002,983
2019-12-03,SKU0017,203,148
2023-07-26,SKU0026,1135,984
2021-06-28,SKU0008,324,553
2019-10-03,SKU0018,1281,1512
2021-06-10,SKU0016,949,851
2019-01-13,SKU0006,950,782
2021-10-23,SKU0010,1373,1669
2021-08-31,SKU0010,938,1208
2019-06-24,SKU0005,956,844
2022-11-09,SKU0026,893,1177
2023-06-14,SKU0028,434,644
2024-04-27,SKU0012,1449,1633
2020-06-30,SKU0020,1303,1443
2024-08-23,SKU0017,370,484
2022-05-03,SKU0014,932,972
2022-11-21,SKU0014,248,313
2022-12-25,SKU0003,890,912
2022-12-04,SKU0029,180,215
2019-01-03,SKU0012,702,654
2024-01-17,SKU0020,998,1265
2021-01-16,SKU0018,77,0
2021-05-21,SKU0012,918,1039
2020-05-09,SKU0002,884,1058
2022-11-15,SKU0002,335,246
2020-09-19,SKU0027,49,0
2021-12-11,SKU0017,84,295
2019-05-22,SKU0010,694,762
2023-01-27,SKU0018,3,0
2019-02-15,SKU0022,992,1043
2024-08-19,SKU0019,316,615
2020-10-25,SKU0026,1134,1307
2020-07-26,SKU0021,1357,1298
2024-07-22,SKU0001,762,675
2023-04-03,SKU0024,1156,1405
2023-06-10,SKU0029,611,700
2021-07-01,SKU0004,1004,1286
2020-10-01,SKU0025,913,1069
2021-06-27,SKU0004,798,622
2021-05-18,SKU0030,118,285
2021-10-26,SKU0002,349,458
2021-05-02,SKU0019,916,970
2019-11-03,SKU0021,686,948
2023-12-22,SKU0012,541,608
2020-01-30,SKU0010,1078,1003
2021-01-18,SKU0013,360,552
2019-11-26,SKU0029,707,756
2024-09-28,SKU0030,1476,1562
2024-07-24,SKU0022,684,817
2021-02-11,SKU0023,329,605
2023-07-04,SKU0020,218,70
2023-09-29,SKU0023,207,374
2020-01-13,SKU0015,844,686
2023-11-23,SKU0026,84,49
2023-06-12,SKU0003,684,525
2021-09-26,SKU0023,244,423
2024-01-23,SKU0020,871,1126
2023-04-11,SKU0029,1022,997
2021-02-12,SKU0013,1358,1224
2021-12-19,SKU0008,1235,1100
2023-12-09,SKU0025,595,794
2022-01-03,SKU0007,684,566
2024-08-12,SKU0024,1206,1355
2023-05-18,SKU0008,1156,1060
2021-01-17,SKU0018,1013,1212
2023-01-11,SKU0009,1013,1099
2023-10-31,SKU0006,349,522
2023-04-03,SKU0027,281,266
2023-06-04,SKU0004,292,375
2023-02-17,SKU0015,1292,1095
2019-11-25,SKU0005,1220,1157
2022-11-11,SKU0026,983,961
2019-05-06,SKU0005,19,55
2021-02-05,SKU0007,758,575
2023-04-23,SKU0030,404,506
2022-05-12,SKU0009,1138,1353
2022-04-10,SKU0007,700,913
2023-10-25,SKU0009,979,1198
2019-08-05,SKU0020,25,0
2022-09-21,SKU0010,565,784
2022-08-14,SKU0030,394,222
2021-04-11,SKU0026,1000,943
2019-07-01,SKU0004,1404,1551
2019-11-30,SKU0006,522,470
2020-05-25,SKU0024,861,724
2020-01-18,SKU0014,1106,1272
2024-03-11,SKU0009,801,1050
2019-11-28,SKU0001,549,728
2022-04-03,SKU0017,1468,1454
2022-06-19,SKU0013,86,251
2021-06-18,SKU0024,832,858
2020-10-03,SKU0027,386,303
2022-06-04,SKU0007,962,1173
2020-09-25,SKU0009,667,905
2019-07-15,SKU0011,1421,1576
2024-03-08,SKU0003,285,338
2020-04-02,SKU0026,697,527
2021-04-09,SKU0012,964,924
2024-08-18,SKU0021,368,382
2022-05-09,SKU0003,654,897
2021-06-05,SKU0015,1445,1413
2020-01-28,SKU0021,653,533
2023-08-03,SKU0010,696,541
2024-12-21,SKU0001,1466,1314
2021-07-04,SKU0014,1023,1271
2021-07-23,SKU0027,914,1011
2019-12-21,SKU0020,287,493
2023-03-02,SKU0006,94,261
2020-09-20,SKU0002,668,750
2022-03-16,SKU0029,40,312
2019-11-23,SKU0023,330,545
2022-12-09,SKU0008,1178,1444
2022-11-22,SKU0001,503,390
2022-01-31,SKU0029,274,194
2023-11-16,SKU0004,178,0
2023-03-12,SKU0027,136,251
2024-03-29,SKU0004,766,1025
2022-05-17,SKU0029,987,1013
2024-05-10,SKU0005,1203,1081
2020-01-28,SKU0030,1205,1149
2021-04-05,SKU0028,1282,1323
2024-03-27,SKU0028,242,73
2019-02-19,SKU0020,1119,1181
2022-10-28,SKU0009,196,206
2021-11-16,SKU0023,525,395
2021-03-10,SKU0013,631,814
2023-11-28,SKU0018,1410,1406
2022-09-25,SKU0017,407,264
2023-04-15,SKU0025,1292,1515
2019-01-01,SKU0001,1194,1462
2021-10-16,SKU0022,690,601
2022-07-08,SKU0015,169,16
2019-03-04,SKU0002,158,392
2024-02-13,SKU0016,446,430
2019-06-01,SKU0020,1017,1183
2020-10-05,SKU0022,1105,1231
2020-09-17,SKU0005,1080,1044
2019-08-05,SKU0027,111,125
2019-07-15,SKU0022,47,177
2021-10-11,SKU0019,375,504
2023-03-02,SKU0005,827,747
2023-04-28,SKU0002,32,44
2021-12-16,SKU0007,503,613
2023-03-08,SKU0003,626,466
2020-12-22,SKU0017,1026,1178
2023-05-27,SKU0030,41,244
2023-10-26,SKU0024,8,96
2023-04-12,SKU0024,999,966
2020-10-01,SKU0003,818,1100
2024-11-23,SKU0013,656,489
2019-06-14,SKU0007,1165,1282
2019-08-03,SKU0025,789,1072
2021-12-30,SKU0024,1459,1733
2019-03-31,SKU0003,1050,1124
2023-12-01,SKU0015,1066,1292
2022-06-05,SKU0029,1154,1150
2022-01-07,SKU0018,1239,1229
2020-08-30,SKU0029,597,617
2019-12-15,SKU0010,1368,1177
2019-09-03,SKU0023,1436,1355
2019-09-29,SKU0007,935,857
2024-07-23,SKU0009,1269,1315
2020-02-07,SKU0005,1472,1631
2023-01-05,SKU0020,1011,1207
2022-04-10,SKU0008,20,40
2021-12-15,SKU0014,998,1058
2023-06-03,SKU0004,1431,1288
2022-01-31,SKU0020,456,570
2019-10-11,SKU0028,1467,1726
2020-05-31,SKU0014,1013,940
2022-07-25,SKU0012,264,250
2020-09-03,SKU0002,183,187
2021-01-19,SKU0013,226,111
2022-07-16,SKU0001,1269,1172
2024-01-31,SKU0020,1096,1038
2020-02-04,SKU0007,1173,1177
2023-03-07,SKU0028,1092,1020
2024-07-17,SKU0025,968,1013
2024-11-03,SKU0009,804,641
2019-11-16,SKU0028,1253,1415
2021-11-21,SKU0026,722,630
2019-12-02,SKU0017,1095,1203
2024-09-29,SKU0021,1001,852
2019-06-23,SKU0023,874,674
2023-06-30,SKU0013,1420,1230
2020-05-15,SKU0023,83,196
2024-10-24,SKU0010,739,773
2024-01-31,SKU0016,1322,1249
2024-03-11,SKU0006,1316,1539
2023-07-22,SKU0016,222,235
2023-09-15,SKU0011,792,1074
2023-11-14,SKU0026,732,975
2020-11-27,SKU0020,1239,1281
2021-01-01,SKU0003,1254,1097
2021-12-30,SKU0028,404,209
2020-10-13,SKU0029,1192,1147
2021-12-30,SKU0009,328,542
2019-02-15,SKU0015,425,232
2021-12-06,SKU0028,769,573
2022-12-16,SKU0013,1219,1380
2020-03-31,SKU0010,607,588
2023-07-21,SKU0020,525,436
2021-08-23,SKU0024,624,915
2024-07-13,SKU0013,76,148
2021-05-18,SKU0017,1300,1521
2023-03-09,SKU0007,919,983
2021-09-27,SKU0028,945,1202
2021-02-12,SKU0006,465,476
2022-01-31,SKU0013,1471,1348
2021-11-26,SKU0028,1343,1412
2023-08-05,SKU0017,1183,1136
2023-03-24,SKU0015,491,511
2020-02-01,SKU0004,312,480
2019-04-17,SKU0028,1184,1429
2021-08-11,SKU0015,307,453
2024-01-23,SKU0014,1169,993
2021-07-22,SKU0021,1419,1682
2019-10-15,SKU0011,690,909
2020-12-06,SKU0024,88,241
2024-08-05,SKU0004,734,741
2023-01-24,SKU0003,777,993
2019-08-03,SKU0002,750,552
2022-07-28,SKU0020,1331,1345
2024-05-31,SKU0027,370,564
2023-01-22,SKU0010,450,361
2023-12-30,SKU0030,166,407
2019-12-10,SKU0013,391,382
2019-07-13,SKU0020,735,936
2019-06-07,SKU0029,490,336
2020-04-09,SKU0026,924,1212
2024-11-21,SKU0021,1173,1400
2024-09-12,SKU0029,1491,1511
2023-10-16,SKU0023,1066,1052
2020-08-14,SKU0025,944,793
2024-12-28,SKU0018,28,24
2021-11-20,SKU0021,1054,1069
2021-06-02,SKU0016,692,904
2019-03-04,SKU0011,127,147
2022-01-15,SKU0010,766,945
2019-10-31,SKU0009,1317,1206
2021-12-20,SKU0012,440,471
2020-01-31,SKU0030,868,990
2019-11-30,SKU0029,1411,1468
2020-02-15,SKU0019,523,475
2020-04-10,SKU0001,759,814
2019-03-21,SKU0018,109,311
2022-01-05,SKU0014,1351,1574
2024-05-31,SKU0022,1428,1485
2021-01-02,SKU0021,1268,1534
2023-12-23,SKU0001,162,26
2023-04-13,SKU0017,559,548
2022-10-16,SKU0011,398,288
2024-10-25,SKU0020,582,819
2022-04-02,SKU0028,398,370
2022-04-13,SKU0015,238,284
2023-05-31,SKU0004,1488,1543
2019-05-02,SKU0015,1055,970
2019-07-04,SKU0022,1146,994
2019-02-01,SKU0022,109,135
2021-09-24,SKU0026,1294,1582
2024-06-09,SKU0014,1403,1271
2020-07-22,SKU0022,299,520
2022-10-27,SKU0001,1001,1188
2023-08-07,SKU0026,763,963
2021-04-09,SKU0009,248,173
2023-06-08,SKU0027,520,756
2021-12-15,SKU0007,33,45
2021-03-01,SKU0023,227,79
2021-09-20,SKU0011,584,495
2019-03-19,SKU0023,1422,1380
2019-04-18,SKU0002,957,996
2022-07-20,SKU0002,812,761
2024-08-24,SKU0006,723,661
2020-01-05,SKU0023,583,800
2024-06-27,SKU0019,569,481
2023-08-31,SKU0029,219,161
2020-03-16,SKU0020,1394,1563
2019-08-15,SKU0014,786,723
2020-09-14,SKU0028,527,812
2021-10-21,SKU0003,74,353
2023-04-26,SKU0007,135,371
2023-07-02,SKU0007,73,176
2022-03-30,SKU0004,253,83
2019-06-10,SKU0029,1041,1133
2021-05-20,SKU0023,1021,928
2023-10-12,SKU0005,1066,1149
2022-03-20,SKU0017,49,7
2020-03-19,SKU0026,514,639
2023-11-26,SKU0004,743,556
2023-02-03,SKU0023,730,651
2020-04-07,SKU0013,570,584
2020-04-17,SKU0016,575,646
2019-03-21,SKU0016,1326,1150
2021-11-28,SKU0002,1165,1387
2019-08-28,SKU0018,902,1023
2020-07-10,SKU0001,201,294
2020-08-12,SKU0018,206,174
2022-09-22,SKU0026,414,316
2024-02-28,SKU0030,220,373
2024-05-29,SKU0008,1385,1555
2022-07-27,SKU0011,757,596
2022-02-13,SKU0024,1104,1138
2024-04-23,SKU0024,762,881
2019-12-01,SKU0015,562,450
2019-11-08,SKU0016,1308,1207
2021-12-12,SKU0017,368,311
2019-02-03,SKU0017,895,776
2024-01-16,SKU0012,1369,1245
2020-01-21,SKU0010,203,61
2019-09-06,SKU0020,1048,1076
2022-02-08,SKU0006,956,846
2022-12-04,SKU0008,68,221
2022-04-17,SKU0013,515,709
2021-03-04,SKU0002,239,39
2021-05-01,SKU0029,360,428
2020-01-11,SKU0019,1464,1549
2020-12-24,SKU0022,1054,1050
2023-05-30,SKU0010,706,779
2024-03-28,SKU0004,689,566
2019-07-21,SKU0012,656,596
2024-04-26,SKU0018,1345,1432
2022-08-24,SKU0007,343,213
2020-05-07,SKU0020,535,790
2019-12-04,SKU0024,354,203
2024-05-22,SKU0024,1494,1748
2024-02-09,SKU0023,927,1098
2021-03-02,SKU0026,982,1150
2023-02-25,SKU0025,104,0
2024-07-15,SKU0004,1345,1379
2021-07-30,SKU0007,961,1047
2024-10-23,SKU0010,526,632
2019-02-28,SKU0026,503,457
2024-08-24,SKU0015,1108,967
2022-06-08,SKU0012,930,762
2022-10-09,SKU0001,708,944
2019-02-04,SKU0020,234,160
2019-06-11,SKU0018,1286,1306
2021-06-13,SKU0025,1029,1028
2020-04-15,SKU0016,493,709
2022-12-17,SKU0005,1312,1237
2019-12-14,SKU0019,877,717
2020-11-24,SKU0004,1373,1447
2021-07-23,SKU0006,1223,1491
2021-07-01,SKU0026,966,1062
2019-05-27,SKU0017,965,849
2023-09-08,SKU0007,963,851
2020-11-05,SKU0024,896,737
2022-12-10,SKU0023,1358,1277
2023-02-26,SKU0007,216,294
2022-07-03,SKU0009,622,880
2020-11-16,SKU0013,352,184
2022-01-31,SKU0020,691,766
2019-05-01,SKU0014,674,626
2019-02-11,SKU0016,630,519
2019-01-29,SKU0023,324,227
2021-08-23,SKU0009,900,1135
2024-03-30,SKU0015,1251,1062
