purchase_order_id,order_date,sku,supplier_id,quantity,promised_delivery_date,actual_delivery_date
PO00087,2023-01-19,SKU0025,S007,453,2023-01-25,2023-02-02
PO00088,2022-12-05,SKU0007,S009,328,2022-12-08,2022-12-17
PO00089,2020-10-10,SKU0020,S009,223,2020-10-18,2020-10-22
PO00090,2019-11-14,SKU0006,S004,126,2019-11-20,2019-11-26
PO00091,2022-06-11,SKU0021,S010,395,2022-06-16,2022-06-25
PO00092,2020-11-14,SKU0024,S004,353,2020-11-19,2020-11-19
PO00093,2020-10-25,SKU0001,S009,81,2020-11-05,2020-11-06
PO00094,2024-06-21,SKU0017,S009,404,2024-06-29,2024-07-04
PO00095,2023-06-20,SKU0029,S004,73,2023-07-01,2023-07-04
PO00096,2023-02-04,SKU0011,S007,214,2023-02-11,2023-02-13
PO00097,2022-02-10,SKU0022,S005,218,2022-02-14,2022-02-15
PO00098,2024-01-28,SKU0026,S008,81,2024-02-07,2024-02-12
PO00099,2023-03-01,SKU0028,S001,286,2023-03-08,2023-03-06
PO00100,2020-07-17,SKU0018,S002,283,2020-07-21,2020-07-27
PO00101,2022-07-15,SKU0021,S010,487,2022-07-21,2022-07-19
PO00102,2023-06-25,SKU0017,S009,329,2023-07-06,2023-07-11
PO00103,2020-11-29,SKU0007,S009,347,2020-12-05,2020-12-06
PO00104,2024-11-30,SKU0017,S009,375,2024-12-14,2024-12-20
PO00105,2019-01-02,SKU0020,S009,104,2019-01-16,2019-01-24
PO00106,2020-10-03,SKU0009,S005,175,2020-10-17,2020-10-19
PO00107,2023-05-09,SKU0017,S009,41,2023-05-15,2023-05-15
PO00108,2021-05-04,SKU0020,S009,20,2021-05-08,2021-05-14
PO00109,2023-10-26,SKU0022,S005,310,2023-11-09,2023-11-17
PO00110,2023-07-20,SKU0022,S005,226,2023-07-28,2023-08-03
PO00111,2022-02-27,SKU0028,S001,298,2022-03-12,2022-03-13
PO00112,2021-12-12,SKU0029,S004,111,2021-12-16,2021-12-24
PO00113,2023-09-04,SKU0008,S003,434,2023-09-18,2023-09-19
PO00114,2023-08-23,SKU0017,S009,401,2023-09-01,2023-09-10
PO00115,2023-09-30,SKU0007,S009,276,2023-10-05,2023-10-10
PO00116,2022-12-10,SKU0001,S009,223,2022-12-15,2022-12-14
PO00117,2021-04-15,SKU0013,S009,188,2021-04-22,2021-04-28
PO00118,2019-07-22,SKU0030,S002,97,2019-07-27,2019-07-30
PO00119,2019-05-03,SKU0023,S002,50,2019-05-07,2019-05-13
PO00120,2020-02-05,SKU0019,S010,410,2020-02-17,2020-02-22
PO00121,2021-02-05,SKU0027,S003,85,2021-02-16,2021-02-20
PO00122,2019-10-21,SKU0024,S004,386,2019-10-25,2019-10-23
PO00123,2019-07-17,SKU0019,S010,55,2019-07-30,2019-08-08
PO00124,2024-04-14,SKU0030,S002,169,2024-04-18,2024-04-18
PO00125,2024-12-31,SKU0030,S002,472,2025-01-10,2025-01-18
PO00126,2020-08-31,SKU0029,S004,89,2020-09-11,2020-09-10
PO00127,2022-02-21,SKU0017,S009,319,2022-03-02,2022-03-04
PO00128,2019-07-06,SKU0013,S009,95,2019-07-11,2019-07-13
PO00129,2023-11-30,SKU0029,S004,101,2023-12-11,2023-12-13
PO00130,2020-10-21,SKU0030,S002,157,2020-10-26,2020-10-27
PO00131,2024-05-09,SKU0016,S004,170,2024-05-16,2024-05-18
PO00132,2022-10-01,SKU0008,S003,211,2022-10-12,2022-10-12
PO00133,2024-06-09,SKU0019,S010,433,2024-06-23,2024-07-02
PO00134,2023-03-15,SKU0018,S002,425,2023-03-20,2023-03-18
PO00135,2019-05-27,SKU0001,S009,251,2019-06-05,2019-06-07
PO00136,2023-10-01,SKU0014,S007,362,2023-10-15,2023-10-21
PO00137,2024-01-18,SKU0019,S010,11,2024-01-21,2024-01-27
PO00138,2020-05-03,SKU0015,S002,234,2020-05-09,2020-05-10
PO00139,2024-05-13,SKU0018,S002,298,2024-05-19,2024-05-19
PO00140,2023-07-22,SKU0002,S001,242,2023-07-31,2023-07-29
PO00141,2020-10-02,SKU0022,S005,470,2020-10-12,2020-10-11
PO00142,2023-12-08,SKU0028,S001,423,2023-12-11,2023-12-16
PO00143,2024-05-23,SKU0017,S009,426,2024-05-30,2024-05-28
PO00144,2022-12-09,SKU0018,S002,86,2022-12-18,2022-12-23
PO00145,2023-06-23,SKU0030,S002,125,2023-07-07,2023-07-11
PO00146,2019-09-20,SKU0006,S004,163,2019-09-26,2019-10-01
PO00147,2023-11-23,SKU0019,S010,415,2023-11-29,2023-12-08
PO00148,2024-12-31,SKU0004,S003,112,2025-01-06,2025-01-09
PO00149,2020-09-15,SKU0001,S009,203,2020-09-29,2020-10-08
PO00150,2021-10-13,SKU0008,S003,175,2021-10-21,2021-10-27
PO00151,2021-05-30,SKU0029,S004,368,2021-06-08,2021-06-08
PO00152,2024-08-11,SKU0023,S002,99,2024-08-15,2024-08-22
PO00153,2022-08-20,SKU0007,S009,183,2022-08-27,2022-08-28
PO00154,2020-03-28,SKU0003,S010,131,2020-04-03,2020-04-06
PO00155,2022-03-29,SKU0010,S003,152,2022-04-03,2022-04-08
PO00156,2024-08-18,SKU0010,S003,491,2024-08-27,2024-08-29
PO00157,2023-08-10,SKU0019,S010,115,2023-08-23,2023-08-23
PO00158,2022-02-28,SKU0014,S007,384,2022-03-14,2022-03-17
PO00159,2020-02-08,SKU0002,S001,437,2020-02-16,2020-02-17
PO00160,2024-10-02,SKU0028,S001,314,2024-10-11,2024-10-17
PO00161,2023-08-24,SKU0001,S009,369,2023-08-31,2023-08-31
PO00162,2020-09-19,SKU0023,S002,468,2020-09-27,2020-09-28
PO00163,2020-08-09,SKU0023,S002,326,2020-08-16,2020-08-20
PO00164,2023-07-07,SKU0028,S001,460,2023-07-16,2023-07-20
PO00165,2022-12-14,SKU0018,S002,132,2022-12-18,2022-12-27
PO00166,2022-12-16,SKU0007,S009,399,2022-12-29,2023-01-07
PO00167,2019-04-14,SKU0029,S004,18,2019-04-21,2019-04-22
PO00168,2019-09-11,SKU0008,S003,271,2019-09-19,2019-09-22
PO00169,2023-02-05,SKU0001,S009,82,2023-02-13,2023-02-22
PO00170,2019-04-09,SKU0025,S007,368,2019-04-16,2019-04-16
PO00171,2024-02-28,SKU0023,S002,232,2024-03-11,2024-03-14
PO00172,2024-04-03,SKU0003,S010,425,2024-04-12,2024-04-21
PO00173,2021-05-27,SKU0024,S004,50,2021-06-08,2021-06-07
PO00174,2019-12-04,SKU0023,S002,379,2019-12-14,2019-12-19
PO00175,2021-08-14,SKU0027,S003,213,2021-08-23,2021-08-22
PO00176,2023-09-01,SKU0029,S004,273,2023-09-08,2023-09-16
PO00177,2019-06-10,SKU0008,S003,337,2019-06-13,2019-06-17
PO00178,2023-05-23,SKU0022,S005,187,2023-05-30,2023-06-05
PO00179,2020-02-02,SKU0025,S007,357,2020-02-14,2020-02-12
PO00180,2022-07-24,SKU0015,S002,327,2022-07-28,2022-08-02
PO00181,2021-03-26,SKU0005,S007,93,2021-04-02,2021-04-06
PO00182,2023-03-08,SKU0003,S010,327,2023-03-15,2023-03-18
PO00183,2024-04-03,SKU0019,S010,120,2024-04-07,2024-04-10
PO00184,2022-11-16,SKU0001,S009,260,2022-11-23,2022-11-26
PO00185,2022-03-04,SKU0028,S001,392,2022-03-10,2022-03-16
PO00186,2022-05-03,SKU0015,S002,16,2022-05-06,2022-05-05
PO00187,2020-02-05,SKU0008,S003,468,2020-02-10,2020-02-08
PO00188,2020-10-01,SKU0002,S001,93,2020-10-04,2020-10-13
PO00189,2020-04-04,SKU0003,S010,217,2020-04-18,2020-04-21
PO00190,2021-08-12,SKU0024,S004,397,2021-08-25,2021-09-01
PO00191,2020-04-14,SKU0014,S007,399,2020-04-21,2020-04-29
PO00192,2021-11-11,SKU0024,S004,323,2021-11-17,2021-11-22
PO00193,2023-08-21,SKU0014,S007,31,2023-08-30,2023-08-30
PO00194,2024-09-16,SKU0011,S007,419,2024-09-23,2024-10-02
PO00195,2020-07-16,SKU0016,S004,392,2020-07-28,2020-08-04
PO00196,2023-12-05,SKU0004,S003,12,2023-12-11,2023-12-09
PO00197,2024-09-05,SKU0020,S009,136,2024-09-09,2024-09-15
PO00198,2019-08-14,SKU0005,S007,306,2019-08-20,2019-08-18
PO00199,2021-03-08,SKU0022,S005,197,2021-03-22,2021-03-22
PO00200,2021-08-17,SKU0021,S010,371,2021-08-21,2021-08-26
PO00201,2023-02-13,SKU0014,S007,23,2023-02-23,2023-02-23
PO00202,2020-03-28,SKU0023,S002,468,2020-04-02,2020-04-03
PO00203,2021-03-26,SKU0016,S004,475,2021-04-06,2021-04-11
PO00204,2020-10-20,SKU0018,S002,21,2020-10-26,2020-10-24
PO00205,2020-06-30,SKU0007,S009,96,2020-07-08,2020-07-11
PO00206,2022-04-30,SKU0010,S003,21,2022-05-12,2022-05-10
PO00207,2019-01-17,SKU0007,S009,406,2019-01-24,2019-01-22
PO00208,2022-05-28,SKU0001,S009,34,2022-06-09,2022-06-14
PO00209,2021-12-05,SKU0023,S002,310,2021-12-08,2021-12-16
PO00210,2024-11-16,SKU0021,S010,252,2024-11-27,2024-11-28
PO00211,2023-11-04,SKU0019,S010,131,2023-11-07,2023-11-16
PO00212,2021-11-26,SKU0016,S004,156,2021-12-06,2021-12-04
PO00213,2019-10-29,SKU0029,S004,64,2019-11-09,2019-11-16
PO00214,2019-06-30,SKU0019,S010,247,2019-07-11,2019-07-15
PO00215,2020-08-29,SKU0004,S003,365,2020-09-01,2020-09-03
PO00216,2020-11-30,SKU0029,S004,182,2020-12-04,2020-12-06
PO00217,2021-09-19,SKU0028,S001,401,2021-10-03,2021-10-01
PO00218,2022-02-13,SKU0018,S002,230,2022-02-16,2022-02-23
PO00219,2019-07-10,SKU0002,S001,128,2019-07-22,2019-07-30
PO00220,2021-09-07,SKU0001,S009,318,2021-09-11,2021-09-14
PO00221,2024-06-29,SKU0015,S002,192,2024-07-11,2024-07-17
PO00222,2022-03-30,SKU0005,S007,297,2022-04-13,2022-04-19
PO00223,2019-05-08,SKU0020,S009,316,2019-05-18,2019-05-23
PO00224,2024-08-27,SKU0011,S007,309,2024-09-03,2024-09-05
PO00225,2023-12-22,SKU0010,S003,91,2024-01-05,2024-01-03
PO00226,2023-10-25,SKU0002,S001,463,2023-11-07,2023-11-13
PO00227,2020-07-23,SKU0003,S010,411,2020-08-01,2020-07-30
PO00228,2022-09-08,SKU0023,S002,220,2022-09-12,2022-09-17
PO00229,2024-03-10,SKU0023,S002,159,2024-03-20,2024-03-22
PO00230,2020-09-17,SKU0012,S005,46,2020-09-30,2020-09-30
PO00231,2023-08-14,SKU0020,S009,361,2023-08-22,2023-08-30
PO00232,2019-06-04,SKU0005,S007,321,2019-06-14,2019-06-18
PO00233,2022-11-10,SKU0005,S007,370,2022-11-13,2022-11-17
PO00234,2021-02-23,SKU0006,S004,68,2021-02-26,2021-03-04
PO00235,2019-09-03,SKU0030,S002,140,2019-09-17,2019-09-21
PO00236,2023-02-09,SKU0009,S005,421,2023-02-18,2023-02-26
PO00237,2023-09-02,SKU0002,S001,211,2023-09-12,2023-09-12
PO00238,2020-06-21,SKU0021,S010,252,2020-06-26,2020-07-04
PO00239,2024-03-05,SKU0012,S005,44,2024-03-12,2024-03-10
PO00240,2024-01-16,SKU0003,S010,454,2024-01-30,2024-02-04
PO00241,2021-07-09,SKU0020,S009,102,2021-07-12,2021-07-21
PO00242,2020-06-08,SKU0026,S008,447,2020-06-17,2020-06-17
PO00243,2023-03-10,SKU0022,S005,456,2023-03-17,2023-03-26
PO00244,2019-02-05,SKU0012,S005,216,2019-02-15,2019-02-20
PO00245,2020-11-15,SKU0024,S004,362,2020-11-25,2020-11-30
PO00246,2019-01-20,SKU0017,S009,400,2019-01-31,2019-02-02
PO00247,2020-02-04,SKU0010,S003,341,2020-02-13,2020-02-22
PO00248,2021-08-29,SKU0030,S002,314,2021-09-11,2021-09-09
PO00249,2024-03-21,SKU0024,S004,359,2024-03-24,2024-03-31
PO00250,2022-03-12,SKU0027,S003,222,2022-03-17,2022-03-21
PO00251,2022-01-20,SKU0014,S007,168,2022-01-30,2022-02-08
PO00252,2021-04-13,SKU0023,S002,451,2021-04-18,2021-04-25
PO00253,2023-12-29,SKU0017,S009,454,2024-01-08,2024-01-10
PO00254,2024-06-05,SKU0018,S002,33,2024-06-08,2024-06-13
PO00255,2021-05-03,SKU0019,S010,413,2021-05-10,2021-05-16
PO00256,2019-02-20,SKU0017,S009,302,2019-02-26,2019-03-06
PO00257,2020-07-28,SKU0014,S007,13,2020-08-04,2020-08-08
PO00258,2022-02-22,SKU0009,S005,229,2022-03-04,2022-03-08
PO00259,2023-09-12,SKU0008,S003,373,2023-09-24,2023-09-22
PO00260,2020-11-12,SKU0002,S001,391,2020-11-18,2020-11-19
PO00261,2021-04-17,SKU0013,S009,29,2021-04-30,2021-04-29
PO00262,2021-12-13,SKU0025,S007,453,2021-12-19,2021-12-18
PO00263,2023-05-15,SKU0007,S009,161,2023-05-20,2023-05-19
PO00264,2019-01-05,SKU0009,S005,59,2019-01-14,2019-01-15
PO00265,2022-01-31,SKU0022,S005,186,2022-02-05,2022-02-03
PO00266,2022-05-04,SKU0022,S005,444,2022-05-18,2022-05-19
PO00267,2021-02-12,SKU0011,S007,105,2021-02-17,2021-02-16
PO00268,2021-05-26,SKU0014,S007,114,2021-06-08,2021-06-10
PO00269,2021-09-18,SKU0004,S003,429,2021-09-30,2021-09-30
PO00270,2019-02-16,SKU0026,S008,259,2019-02-23,2019-03-04
PO00271,2019-09-26,SKU0026,S008,126,2019-10-03,2019-10-08
PO00272,2020-01-05,SKU0029,S004,363,2020-01-13,2020-01-14
PO00273,2020-09-27,SKU0013,S009,237,2020-10-07,2020-10-05
PO00274,2022-02-03,SKU0002,S001,75,2022-02-15,2022-02-13
PO00275,2023-08-21,SKU0023,S002,344,2023-08-29,2023-09-07
PO00276,2023-08-10,SKU0005,S007,427,2023-08-24,2023-08-31
PO00277,2020-10-18,SKU0011,S007,429,2020-10-21,2020-10-21
PO00278,2019-04-30,SKU0006,S004,271,2019-05-10,2019-05-16
PO00279,2021-04-10,SKU0018,S002,304,2021-04-20,2021-04-24
PO00280,2023-12-16,SKU0021,S010,435,2023-12-27,2023-12-26
PO00281,2021-12-17,SKU0010,S003,252,2021-12-28,2022-01-03
PO00282,2024-05-28,SKU0004,S003,380,2024-06-01,2024-06-08
PO00283,2022-10-01,SKU0009,S005,195,2022-10-05,2022-10-04
PO00284,2021-01-10,SKU0006,S004,255,2021-01-15,2021-01-15
PO00285,2019-04-27,SKU0002,S001,134,2019-04-30,2019-05-08
PO00286,2024-01-28,SKU0017,S009,277,2024-02-03,2024-02-10
PO00287,2022-02-24,SKU0005,S007,140,2022-03-02,2022-03-01
PO00288,2024-04-15,SKU0025,S007,246,2024-04-26,2024-04-26
PO00289,2021-10-09,SKU0006,S004,27,2021-10-20,2021-10-23
PO00290,2023-07-23,SKU0026,S008,49,2023-08-03,2023-08-09
PO00291,2021-12-17,SKU0012,S005,30,2021-12-29,2022-01-04
PO00292,2020-09-25,SKU0023,S002,408,2020-10-04,2020-10-08
PO00293,2020-05-27,SKU0021,S010,234,2020-05-31,2020-06-09
PO00294,2022-01-24,SKU0010,S003,364,2022-02-05,2022-02-05
PO00295,2022-02-15,SKU0022,S005,291,2022-02-22,2022-02-23
PO00296,2020-07-13,SKU0021,S010,17,2020-07-19,2020-07-22
PO00297,2020-05-02,SKU0027,S003,109,2020-05-16,2020-05-24
PO00298,2021-06-15,SKU0025,S007,249,2021-06-28,2021-06-30
PO00299,2022-04-27,SKU0006,S004,487,2022-05-07,2022-05-06
PO00300,2020-12-04,SKU0027,S003,96,2020-12-08,2020-12-11
PO00301,2023-01-10,SKU0008,S003,307,2023-01-18,2023-01-18
PO00302,2020-08-03,SKU0002,S001,437,2020-08-10,2020-08-15
PO00303,2019-06-03,SKU0012,S005,23,2019-06-17,2019-06-16
PO00304,2023-08-07,SKU0013,S009,343,2023-08-11,2023-08-09
PO00305,2021-09-23,SKU0025,S007,11,2021-10-06,2021-10-12
PO00306,2022-05-28,SKU0021,S010,384,2022-06-09,2022-06-18
PO00307,2021-12-28,SKU0007,S009,302,2021-12-31,2021-12-31
PO00308,2021-10-05,SKU0010,S003,334,2021-10-15,2021-10-23
PO00309,2024-11-11,SKU0013,S009,431,2024-11-15,2024-11-13
PO00310,2023-11-09,SKU0017,S009,50,2023-11-18,2023-11-22
PO00311,2021-08-15,SKU0026,S008,327,2021-08-26,2021-09-02
PO00312,2020-03-28,SKU0021,S010,325,2020-04-08,2020-04-10
PO00313,2022-05-12,SKU0028,S001,390,2022-05-22,2022-05-24
PO00314,2020-07-04,SKU0030,S002,120,2020-07-17,2020-07-15
PO00315,2023-06-24,SKU0026,S008,23,2023-07-08,2023-07-14
PO00316,2022-08-05,SKU0014,S007,240,2022-08-17,2022-08-21
PO00317,2023-10-24,SKU0002,S001,482,2023-11-04,2023-11-09
PO00318,2019-12-23,SKU0028,S001,93,2019-12-27,2020-01-02
PO00319,2024-09-01,SKU0022,S005,139,2024-09-09,2024-09-12
PO00320,2023-11-21,SKU0011,S007,240,2023-11-27,2023-12-06
PO00321,2023-11-17,SKU0001,S009,335,2023-11-23,2023-11-25
PO00322,2023-06-20,SKU0019,S010,154,2023-06-27,2023-06-30
PO00323,2021-10-12,SKU0021,S010,388,2021-10-26,2021-11-03
PO00324,2022-09-10,SKU0004,S003,354,2022-09-15,2022-09-14
PO00325,2020-05-30,SKU0019,S010,37,2020-06-02,2020-06-03
PO00326,2019-12-02,SKU0026,S008,75,2019-12-12,2019-12-12
PO00327,2023-11-18,SKU0029,S004,172,2023-11-25,2023-11-29
PO00328,2020-05-11,SKU0021,S010,238,2020-05-16,2020-05-22
PO00329,2021-06-14,SKU0011,S007,270,2021-06-26,2021-06-28
PO00330,2021-05-01,SKU0008,S003,458,2021-05-10,2021-05-13
PO00331,2023-08-15,SKU0011,S007,433,2023-08-24,2023-08-31
PO00332,2024-04-15,SKU0004,S003,469,2024-04-18,2024-04-27
PO00333,2023-04-18,SKU0017,S009,449,2023-05-02,2023-05-11
PO00334,2021-08-14,SKU0027,S003,173,2021-08-25,2021-08-24
PO00335,2023-06-25,SKU0007,S009,310,2023-06-29,2023-06-29
PO00336,2022-07-15,SKU0008,S003,416,2022-07-22,2022-07-22
PO00337,2022-12-11,SKU0003,S010,312,2022-12-18,2022-12-27
PO00338,2022-04-06,SKU0022,S005,296,2022-04-16,2022-04-25
PO00339,2021-12-02,SKU0002,S001,404,2021-12-12,2021-12-18
PO00340,2019-10-12,SKU0023,S002,19,2019-10-21,2019-10-25
PO00341,2019-01-12,SKU0015,S002,204,2019-01-21,2019-01-26
PO00342,2023-06-19,SKU0024,S004,127,2023-07-03,2023-07-11
PO00343,2021-01-23,SKU0022,S005,279,2021-02-05,2021-02-12
PO00344,2024-09-13,SKU0022,S005,89,2024-09-21,2024-09-29
PO00345,2019-03-31,SKU0005,S007,467,2019-04-08,2019-04-14
PO00346,2021-02-14,SKU0024,S004,102,2021-02-27,2021-03-02
PO00347,2023-06-14,SKU0001,S009,275,2023-06-25,2023-06-26
PO00348,2020-02-22,SKU0026,S008,341,2020-03-01,2020-03-10
PO00349,2019-04-25,SKU0004,S003,359,2019-05-09,2019-05-07
PO00350,2020-09-08,SKU0015,S002,370,2020-09-12,2020-09-17
PO00351,2021-04-05,SKU0020,S009,266,2021-04-09,2021-04-13
PO00352,2023-07-08,SKU0019,S010,142,2023-07-15,2023-07-14
PO00353,2023-02-25,SKU0003,S010,285,2023-03-03,2023-03-08
PO00354,2020-02-17,SKU0020,S009,273,2020-03-01,2020-03-10
PO00355,2020-12-29,SKU0011,S007,180,2021-01-02,2021-01-04
PO00356,2020-11-06,SKU0017,S009,469,2020-11-11,2020-11-15
PO00357,2024-03-07,SKU0030,S002,10,2024-03-16,2024-03-17
PO00358,2022-01-27,SKU0027,S003,322,2022-02-06,2022-02-08
PO00359,2023-04-21,SKU0013,S009,73,2023-05-05,2023-05-10
PO00360,2021-09-04,SKU0011,S007,383,2021-09-12,2021-09-10
PO00361,2021-10-05,SKU0002,S001,477,2021-10-18,2021-10-16
PO00362,2024-11-13,SKU0009,S005,293,2024-11-20,2024-11-21
PO00363,2023-08-15,SKU0026,S008,130,2023-08-18,2023-08-18
PO00364,2019-02-06,SKU0002,S001,116,2019-02-16,2019-02-23
PO00365,2023-03-29,SKU0021,S010,430,2023-04-03,2023-04-12
PO00366,2021-05-22,SKU0009,S005,184,2021-05-30,2021-05-29
PO00367,2023-12-27,SKU0009,S005,494,2024-01-01,2024-01-10
PO00368,2022-07-20,SKU0008,S003,213,2022-07-29,2022-07-29
PO00369,2024-10-10,SKU0017,S009,174,2024-10-19,2024-10-27
PO00370,2020-08-18,SKU0001,S009,314,2020-09-01,2020-09-09
PO00371,2024-03-18,SKU0025,S007,129,2024-03-29,2024-04-06
PO00372,2020-12-29,SKU0029,S004,53,2021-01-05,2021-01-03
PO00373,2022-09-27,SKU0011,S007,321,2022-10-07,2022-10-05
PO00374,2020-02-01,SKU0008,S003,165,2020-02-13,2020-02-16
PO00375,2020-11-29,SKU0010,S003,376,2020-12-11,2020-12-13
PO00376,2023-06-24,SKU0025,S007,216,2023-07-04,2023-07-09
